B02730,R176897,D1782E,"An extempore sermon, preached upon malt, by a way of caution to good fellows; at the request of two schollars, / by a lover of ale, out of a hallow [sic] tree.","Lover of ale.; Dod, John, 1549?-1645.",s n,No pubplace,Great Britain; Scotland; Temperance; England; 17th century.; Alcoholism; Broadsides; Early works to 1800.,1691
A93248,R206386,S3736,"The glorious feast of the Gospel. Or, Christs gracious invitation and royall entertainment of believers. Wherein amongst other things these comfortable doctrines are spiritually handled: Viz. 1. The marriage feast between Christ and his Church. 2. The vaile of ignorance and unbeliefe removed. 3. Christs conquest over death. 4. The wiping away of teares from the faces of Gods people. 5. The taking away of their reproaches. 6. The precious promises of God, and their certaine performance. 7. The divine authority of the holy scriptures. 8. The duty and comfort of waiting upon God. / Delivered in divers sermons upon Isai.25 chap.6,7,8,9 verses, by the late reverend, learned and faithfull minister of the Gospell, Richard Sibbs, D.D. Master of Katharine-Hall in Cambridge, and preacher at Grayes-Inne, London. Perused by those that were instructed to revise his writings.","Sibbes, Richard, 1577-1635.",Printed for John Rothwell at the Sun and Fountaine in Paul s Church yard neare the little North doore,London,"O.T.; Sermons; Isaiah 25, 6-9; Bible.; 17th century.; Sermons, English; Early works to 1800.",1650
A90603,R8274,P183,"The mysticall vvolfe. Set forth in a sermon preached in the Church of Edmond the King, in Lombard-street. / By E.P.","Pagitt, Ephraim, 1574 or 5-1647.",Printed by Marie Okes and are to be sold by Robert Trot at his shop under the Church of Edmond the King,London,"England; Sermons; Bible.; Dissenters, Religious; 17th century.; Matthew VII, 15; Sermons, English; Early works to 1800.; N.T.",1645
A90394,R206404,P1177,"Light or darknesse, displaying or hiding it self, as it pleaseth, and from or to whom it pleaseth: arraigning, judging, condemning, both the shame and glory of the creature, in all its severall breakings forth from, and appearances in, the creature. / Held forth to publike view in a sermon, a letter, and severall other inward openings. Through Isaac Penington, (junior) Esq;","Penington, Isaac, 1616-1679.",Printed by John Macock,London,"17th century.; Sermons, English",1650
A95346,R185770,T3206A,"Tryssor ir Cymru: sef llyfr yn cynnwys; pregeth Mr. Arthur Dent, ...","Dent, Arthur, d. 1607.",gan Thomas Dawks,Brintio yn Llundain,Early works to 1800.; Christianity; Wales,1677
A95657,R201136,T781,"Pseudeleutheria. Or Lawlesse liberty. Set forth in a sermon preached before the Right Honourable the Lord Major of London, &c. in Pauls, Aug. 16. 1646. / By Edvvard Terry, Minister of the Word, and pastor of the church at Great-Greenford in the country of Middlesex. Sept. 11. 1646. Imprimatur. John Downame.","Terry, Edward, 1590-1660.",Printed by Thomas Harper and are to be sold by Charles Greene at his shop in Ivie Lane at the signe of the Gun,London,"Psalms II, 3; Religious aspects; O.T.; Sermons.; Liberty; Bible.; 17th century.; Sermons, English; Early works to 1800.",1646
A96973,R208406,W3685,"Five sermons, in five several styles; or Waies of preaching. The [brace] first in Bp Andrews his way; before the late King upon the first day of Lent. Second in Bp Hall's way; before the clergie at the author's own ordination in Christ-Church, Oxford. Third in Dr Maine's and Mr Cartwright's way; before the Universitie at St Maries, Oxford. Fourth in the Presbyterian way; before the citie at Saint Paul's London. Fifth in the Independent way; never preached. With an epistle rendring an account of the author's designe in printing these his sermons, as also of the sermons themselves. / By Ab. Wright, sometimes Fellow of St John Baptist Coll. in Oxford.","Wright, Abraham, 1611-1690.",Printed for Edward Archer at the Adam and Eve in Little Britain,London,"17th century.; Sermons, English",1656
A91746,R203411,R1265,"The meanes and method of healing in the Church. Set forth in a sermon. Preached before the Right Honourable the House of Peers in Westminster Abby, April 30. 1660. being a day of solemn humiliation to seek God for his blessing on the counsels of the Parliament. By Edward Reynolds, D.D. and Dean of Christ-Church.","Reynolds, Edward, 1599-1676.",printed by Tho Ratcliffe for George Thomason at the Rose and Crown in St Paul s Church yard,London,"Church of England; Church polity; Sermons; 17th century.; Fasts and feasts; Sermons, English; Early works to 1800.",1660
A92145,R200125,R2393,"A sermon preached before the Right Honorable House of Lords, in the Abbey Church at Westminster, Wednesday the 25. day of Iune, 1645. Being the day appointed for a solemne and publique humiliation. / By Samuel Rutherfurd Professor of Divinitie at St. Andrews.","Rutherford, Samuel, 1600?-1661.",Printed by R C for Andrew Crook and are to be sold at his shop at the signe of the Greene Dragon in Pauls Church yard,London,"17th century.; Fast-day sermons; Sermons, English",1645
A90689,R203182,P2183,"Englands season for reformation of life. A sermon delivered in St. Paul's Church, London. On the Sunday next following His Sacred Majesties restauration. By Tho. Pierce, rector of Brington.","Pierce, Thomas, 1622-1691.",printed for Timothy Garthwait at the little North door in St Paul s Church Yard,London,"17th century.; Restorations, Political; Early works to 1800.; Sermons, English",1660
A90263,R203084,O715,"The branch of the Lord, the beauty of Sion: or, The glory of the Church, in it's relation unto Christ· Opened in two sermons; one preached at Berwick, the other at Edinburgh. By John Owen, minister of the Gospel.","Owen, John, 1616-1683.",Printed by Evan Tyler,Edinburgh,"17th century.; Sermons, English",1650
A91754,R207479,R1289,"Sions praises. Opened in a sermon preached before the Right Honourable the Lord Mayor, aldermen and common council of London: on the day of solemn thanksgiving unto God for his long and gracious preservation of that great city, from pestilence, fire, and other dangers. By Edward Reynolds. D.D.","Reynolds, Edward, 1599-1676.",printed by Tho Newcomb for George Thomason and are to be sold at his shop at the sign of the Rose and Crown in Pauls Church yard,London,"Early works to 1800.; Sermons, English",1657
A93876,R203622,S5476,"The commings [sic] forth of Christ in the power of his death. Opened in a sermon preached before the High Court of Parliament, on Thursday the first of Novem. 1649. being a publike thanksgiving for the victories obtained by the Parliaments forces in Ireland, especially for the taking of Droghedah, since which Wexford also was taken. By Peter Sterry, sometimes fellow of Emanuel Colledge in Cambridge: and now preacher of the Gospel in London.","England and Wales. Parliament. aut; Sterry, Peter, 1613-1672.",Printed by Charles Sumptner for Thomas Brewster and Gregory Moule and are to be sold at the three Bibles in the Poultrey under Mildreds Church,London,"17th century.; Sermons, English",1649
A91808,R205465,R143,"The prophesie of Haggai, interpreted and applyed in sundry sermons by the famous and judicious divine, John Rainolds, D.D. Never before printed, beeing very usefull for these times.","Rainolds, John, 1549-1607.",Printed by W W for William Lee and are to be sold at the Turkes head neere the Miter Taverne in Fleetstreet,London,O.T.; Prophecies; Haggai; Bible.; Commentaries.; Early works to 1800.,1649
A96652,R204901,W2899,"A good and seasonable caveat for Christians. Delivered in a sermon at the funerall of the right worshipfull Sir Charles Shirley, Knight and baronet, in the parish church of Breedon, in Leicester-Shire. / By John Wilson, Master of Arts, and preacher of Gods word in the sayd parish. 7. Octob. 1646. Imprimatur, Jo. Downame.","Wilson, John, of Breedon, Leicestershire.",Printed for Richard Harper and are to be sold at his shop in Smithfield,London,"Sir, 1623-1646; Sermons; Shirley, Charles,; 17th century.; Funeral sermons; God; Worship and love; Sermons, English; Early works to 1800.",1646
A96103,R204059,W1130,"The holy longing: or, The saints desire to be with Christ: delivered in a sermon at Al-hallows Lumbard-street, Aug. 24. 1658. At the funeral of Mr. Jacob Stock. / By Thomas Watson minister of Stephens Walbrook in the city of London.","Watson, Thomas, d. 1686.",Printed by E M for Ralph Smith at the sign of the Bible in Corn hill near the Royal Exchange,London,"17th Century.; Sermons.; Bible.; Philippians I, 23; Funeral sermons; Stock, Jacob, d. 1658; Early works to 1800.; N.T.",1659
A96494,R203284,W2160,"A sermon preached upon Sunday the third of March in St Maries Oxford before the great assembly of the Members, of the Honourable House of Commons there assembled.","Wilde, George, 1610-1665.",printed by Leonard Lichfield printer to the Vniversity,Oxford,"17th century.; Sermons, English",1644
A91744,R203481,R1263,"The Lords property in His redeemed people. Opened in a sermon at St. Pauls Church, London, Octob. 28. / By Edward Reynolds, D.D. and chaplain in ordinary to the Kings Majesty. Printed by the order of the Lord Mayor and court of aldermen.","Reynolds, Edward, 1599-1676.",printed by T R for George Thomason at the Rose and Crown in St Paul s Church yard,London,"17th century.; Sermons, English",1660
A91739,R203408,R1246,"Divine efficacy without humane power. Opened in a sermon preached at St. Margarets Church in Westminster before the Right Honourable the House of Commons, June 28. 1660. Being the day of solemne thanksgiving for the happy return of the Kings Majesty. / By Edward Reynolds D.D. and chaplain in ordinary to his Majesty.","Reynolds, Edward, 1599-1676.",Printed by Tho Ratcliffe for George Thomason at the Rose and Crown in St Paul s Church yard,London,"17th century.; Sermons, English",1660
A87607,R201430,J818,"Lux & lex, or The light and the lavv of Jacobs house: held forth in a sermon before the Honourable House of Commons at St Margarets Westminster March 31. 1647. being the day of publike humiliation. / By Robert Johnson, Eboraicus, one of the Assembly of Divines.","Johnson, Robert, d. 1670.",Printed by A Miller for Philemon Stephens at the signe of the Gilded Lion in Pauls Church yard,London,"O.T.; Isaiah II, 6; Fast-day sermons; Sermons.; Bible.; 17th century.; Sermons, English",1647
A88149,R201371,L2069,"A sermon preached before the Honourable House of Commons: at their publique fast, holden in Margarets Westminster. Febr. 24. 1646./47. / By John Lightfoot, Staffordiens. a Member of the Assembly of Divines.","Lightfoot, John, 1602-1675.",Printed by S I for Andrew Crooke and are to be sold at his shop at the signe of the Green Dragon in Pauls Church yard,London,"O.T.; Fast-day sermons; Sermons.; Bible.; 17th century.; Psalms IV, 4; Sermons, English",1647
A87103,R231880,H747A,"A sermon, preached at St. Gregories church by St. Paul's on Sunday the 13th. day of Iune, 1658. Intended for the funeral solemnization of Iohn Hewit, Dr. of divinity, and late minister there","Hardy, Nathaniel, 1618-1670.",printed and are to be sold in St Paul s Church yard,London,"O.T.; Sermons; Hewit, John, 1614-1658; Bible.; 17th century.; Funeral sermons; Isaiah LVII, 1; Early works to 1800.",1658
A82319,R208819,D929,"Several sermons and discourses of William Dell Minister of the Gospel; sometimes attending both the generals in the army: and now Master of Gonvil and Caius Colledge in Cambridge. Heretofore published at several times, and on several occasions; and now gathered in one volumn, for the benefit of the faithful, and conviction of the world.","England and Wales. Parliament. House of Commons.; Dell, William, d. 1664.; Goad, Christopher, 1601-1652.",Printed by R White for Hen Cripps Lod Lloyd and Giles Calvert at the sign of the Black Spread Eagle at the West end of Pauls towards Ludgate,London,"17th century.; Sermons, English",1651
A86986,R7921,H446,"A sermon preached at St. Bartholomevvs the lesse in London, on the xxvii. day of March 1642; being the day of the inauguration of our soveraigne lord King Charles. By William Hall. Minister of that parish, and now thought fit to be published.","Hall, William, d. 1662.",Printed by T Badger for Samuel Brown,London,"Exodus XXII, 28; Great Britain; O.T.; History; England; Sermons; Bible.; Church and state; Civil War, 1642-1649; Early works to 1800.",1642
A89583,R204300,M780,"A sermon preached to the Honorable House of Commons assembled in Parliament: at their late solemne fast, Januar. 26. 1647. at Margarets Westminster. / By Steven Marshall, B.D.","Marshall, Stephen, 1594?-1655.",Printed by Richard Cotes for Steven Bowtell at the signe of the Bible in Popes head Alley,London,"Great Britain; Religious aspects; History; Matthew XI, 12; Fast-day sermons; Sermons; Sermons.; Bible.; 17th century.; Sermons, English; Civil War, 1642-1649; Early works to 1800.; N.T.",1648
A85036,R23497,F2474,"Truth maintained, or Positions delivered in a sermon at the Savoy: since traduced for dangerous: now asserted for sound and safe. By Thomas Fuller, B.D. late of Sidney Colledge in Cambridge. The particulars are these. I That the doctrine of the impossibility of a churches perfection, in this world, being wel understood, begets not lazinesse but the more industry in wise reformers. II That the Church of England cannot justly be taxed with superstitious innovations. III How farre private Christians, ministers, and subordinate magistrates, are to concurre to the advancing of a publique reformation. IIII What parts therein are only to be acted by the Supreme power. V Of the progresse, and praise of passive obedience. VI That no extraordinary excitations, incitations, or inspirations are bestowed from God, on men in these dayes. VII That it is utterly unlawfull to give any just offence to the papist, or to any men whatsoever. VIII What advantage the Fathers had of us, in learning and religion, and what we have of them. IX That no new light, or new essentiall truths, are, or can be revealed in this age. X That the doctrine of the Churches imperfection, may safely be preached, and cannot honestly be concealed. With severall letters, to cleare the occasion of this book.","Fuller, Thomas, 1680-1661. Sermon of reformation. Selections.; Saltmarsh, John, d. 1647. Examinations. Selections.; Fuller, Thomas, 1608-1661.",s n,Printed at Oxford i e London,"Sermon of reformation; Saltmarsh, John, d. 1647.; England; Sermons; 17th century.; Reformation; Sermons, English; Examinations; Early works to 1800.; Fuller, Thomas, 1608-1661.",1643
A88993,R200000,M1452,"A sermon preached to the Honorable House of Commons, at their late solemne fast, Wednesday, Feb. 26. 1644. / By John Maynard, minister of the Word of God at Mayfield in Sussex, and a member of the Assembly of Divines.","Maynard, John, 1600-1665.",Printed by George Bishop for Samuel Gellibrand at the Brasen Serpent in Pauls Church yard,London,"O.T.; Fast-day sermons; Sermons.; Bible.; Proverbs XXIII, 23; 17th century.; Sermons, English",1645
A85485,R200284,G1393,"The progresse of divine providence, set out in a sermon preached in the Abbey Church of Westminster before the house of Peers, on the 24th of September, 1645. being the day of their monethly fast. / By William Gouge, one of the members of the Assembly.","Gouge, William, 1578-1653.",Printed by G M for Ioshua Kirton next Goldsmiths hall in Foster lane,London,"O.T.; Fast-day sermons; Sermons.; Bible.; 17th century.; Sermons, English; Ezekiel XXXVI, 11",1645
A85403,R202308,G1181,"Mercy in her exaltation. Or, A soveraigne antidote against fear of the second death. In a sermon preached at the funeral of Daniel Taylor Esq; in Stephens Colemanstreet London, on the twentieth day of April, an. 1655.","Goodwin, John, 1594?-1665.",Printed by J Macock for H Eversden and are to be sold at his shop at the signe of the Grey hound in Paul s Churchyard,London,"James II, 13; Taylor, Daniel, ca. 1614-1655; Sermons.; Bible.; 17th century.; Funeral sermons; Sermons, English; Early works to 1800.; N.T.",1655
A89578,R200112,M773,"A sacred record to be made of Gods mercies to Zion: a thanksgiving sermon preached to the two Houses of Parliament, the Lord Major, Court of Aldermen, and Common-Councell of the city of London, at Christ-Church, June 19. 1645. Being the day of their publike thanksgiving to almighty God for the great and glorious victory obtained by the Parliaments army under the conduct of Sir Thomas Fairfax in Naseby-field. /","Marshall, Stephen, 1594?-1655.",Printed by Rich Cotes for Stephen Bowtell and are to be sold at the sign of the Bible in Popes head Alley,London,"Great Britain; Psalms CII, 18; O.T.; History; Sermons.; Sermons; Bible.; 17th century.; Early works to 1800.; Civil War, 1642-1649; Sermons, English",1645
A89505,R206708,M535,"A sermon preached at the funerall of M. Christopher Love, in St. Laurence church, August, 25. 1651. By Thomas Manton, minister of the gospell at Stoak-Newington near London.","Manton, Thomas, 1620-1677.",Printed by J B,London,"17th century.; Funeral sermons; Love, Christopher, 1618-1651.",1651
A85448,R229607,G1294,"The oracle of God A sermon appointed for the Crosse, and preached in the Cathedrall Church of St. Paul, in London, on the 20. day of December, being the Sunday before Christmasse, anno Dom. 1635. By Iohn Gore rector of Wenden-lofts in Essex.","Gore, John, Rector of Wendenlofts, Essex.",printed for J P and are to be sold by Andrew Greeke and Charles Greene,London,"17th century.; Sermons, English",1646
A86290,R202407,H1721,"Historia quinqu-articularis: or, A declaration of the judgement of the Western Churches, and more particularly of the Church of England, in the five controverted points, reproched in these last times by the name of Arminianism. Collected in the way of an historicall narration, out of the publick acts and monuments, and most approved authors of those severall churches. By Peter Heylyn.","Heylyn, Peter, 1600-1662.",printed by E C for Thomas Johnson at the Key in St Pauls Church yard,London,Arminianism; Early works to 1800.; History; Church of England,1660
A89587,R200033,M790,"The strong helper or, The interest, and power of the prayers of the destitute, for the building up of Sion. Opened in a sermon before the Honorable House of Commons assembled in Parliament, upon the solemn day of their monethly fast, April 30. 1645. / By Stephen Marshall, B.D. minister of Gods Word, at Finching-field in Essex.","Marshall, Stephen, 1594?-1655.",Printed by Richard Cotes for Stephen Bowtell and are to be sold at the signe of the Bible in Popes head Alley,London,"O.T.; Sermons.; Bible.; 17th century.; Psalms CII, 17; Sermons, English",1645
A84337,R200585,E46,"The axe, against sin and error; and the truth conquering. A sermon on Matthew 3. 10. Now also the ax is laid to the root of the trees, therefore every tree, that bringeth not forth good fruit, is hewn down, and cast into the fire. At which, a Christian confessed, she was converted; and because it did good to her, desired it might be preached again at her funerall, that it might do good to others, ... wherein are shewed the causes of the sword upon England, and on the Lutherans, and the remedies that must be used, before the judgements cease. / Written by John Eachard, M. A. of Trin. Col. Camb. and pastor of Darsham in Suffolke. Published according to order.","Eachard, John, 17th cent.",Printed by Matthew Simmons and are to be sold by John Hancock at his shop in Popes head Alley,London,"Great Britain; History; Sermons.; Matthew III, 10; Sermons; Bible.; 17th century.; Civil War, 1642-1649; Sermons, English; N.T.",1646
A87089,R206763,H714,"Death's alarum: or, Security's vvarning-piece. A sermon preached in S. Dionis Back-Church, at the funerall of Mrs. Mary Smith (daughter of Mr. Isaac Colfe, formerly minister of Gods Word at Chadwell in Essex, and late wife of Mr. Richard Smith of London, draper) who dyed the 9th. day of Novemb. 1653. and was buried the 16th of the same moneth. By Nath: Hardy, Mr. of Arts, and preacher to that parish.","Hardy, Nathaniel, 1618-1670.",Printed by J G for Nath Web and Will Grantham at the sign of the Bear in S Paul s Church yard neere the little North Doore,London,"Smith, Mary, d. 1653; Death; Sermons.; Death and burial.; Bible.; Mathew XXIV, 44; 17th century.; Funeral sermons; Early works to 1800.; Sermons, English; N.T.",1653
A85734,R200080,G2069,Christ the Christians choice. Or A sermon preached at the funerall of Mr John Cavvs one of the magistrates of the famous corporation of Plymouth. March the 29. Anno Dom. 1645. By Alexander Grosse. B.D. and pastor of Bridfoad.,"Grosse, Alexander, 1596?-1654.",Printed by R B for Iohn Bartlet at the Gilt Cup under St Augustines Gate,London,"Sermons.; Bible.; 17th century.; Philippians I, 23; Funeral sermons; Sermons, English; N.T.",1645
A86062,R229589,G940A,"A funeral sermon preached at Deptford June 3. 1688 Upon the occasion of the death of Mrs. Elizabeth Kilbury, late wife of Mr. John Kilbury. By Henry Godman, minister of the gospel. With allowance.","Godman, Henry, 1629 or 30-1702.",printed for Nath Crouch at the Bell in the Poultrey near Cheapside,London,"Kilbury, John; 17th century.; Funeral sermons; Kilbury, Elizabeth, d. 1688; Early works to 1800.",1688
A89585,R204198,M783,"The sinne of hardnesse of heart: the nature, danger, and remedy of it. Opened in a sermon, preached to the Honorable House of Commons, July 28. 1648. being the day of their solemne monethly fast. By Stephen Marshall, B.D. minister of Gods Word at Finchingfield in Essex. Published by order of that House.","Marshall, Stephen, 1594?-1655.",Printed by R Cotes for Stephen Bowtell at the signe of the Bible in Popes head Alley,London,"17th century.; Fast-day sermons; Sermons, English",1648
