A94741,R200471,T1825,"Tvvo treatises and an appendix to them concerning infant-baptisme. The former treatise being an exercitation presented to the chair-man of a committee of the Assembly of Divines. The later an examen of the sermon of Mr Stephen Marshall, about infant-baptisme, in a letter sent to him. / By John Tombes. B.D.","Tombes, John, 1603?-1676.; Tombes, John, 1603?-1676. Excercitation about infant-baptisme.",Printed for George Whittington and are to be sold at the signe of the Blackmore in Bishopsgate streete,London,"Marshall, Stephen, 1594?-1655. --  Sermon of the baptizing of infants.; Infant baptism --  Early works to 1800.",1645,1
A91760,R203437,R1302,"The wall & glory of Jerusalem, in a sermon preached in St. Pauls-Church London, before the Right Honorable the Lord Mayor, Lord General, aldermen, Common Council, and companies of the Honorable City of London, February 28. 1659. Being a day of solemn thanksgiving unto God, for restoring the Parliament and Common Council, and for preserving the City. By Edward Reynolds D.D.","Reynolds, Edward, 1599-1676.",printed by Tho Newcomb for George Thomason at the Rose and Crown in St Pauls Church yard,London,"Sermons, English --  17th century.",1660,1
A87093,,H720,"The epitaph of a godly man, especially a man of God or, The happines by death of holines in life. Delineated in a sermon preached at the funerall of Mr Adam Pemberton late minister of the parish of St Fosters Foster-lane : who ended this mortall, April the 8th, 1655. and was buried in hope of an immortal life the 11th of the same moneth. / By Nath: Hardy M.A. and preacher to the parish of St Dionis Back Church.","Hardy, Nathaniel, 1618-1670.",Printed by J G for Nathanaell Webb and William Grantham at the Black Bear neer the little North door of S Pauls Church,London,"Pemberton, Adam, d. 1655 --  Early works to 1800.; Christian life --  Sermons --  Early works to 1800.; Funeral sermons --  17th century.; Sermons, English --  17th century.",1655,1
A85370,R200027,G1093,"The discoverie of a publique spirit: presented in a sermon before the Honourable House of Commons at Margarets Westminster, at their publique fast, March 26. 1645. / By William Goode B.D. pastor of Denton in Norfolk, on of the Assembly of Divines.","Goode, William, b. 1599 or 1600.",Printed by I L for Christopher Meredith at the sign of the Crane in Pauls Church yard,London,"Bible. --  N.T. --  Acts XIII, 36 --  Sermons.; Sermons, English --  17th century.",1645,1
A82317,R201227,D927,"Right reformation: or, The reformation of the church of the New Testament, represented in Gospell-light. In a sermon preached to the Honourable House of Commons, on Wednesday, November 25. 1646. Together with a reply to the chief contradictions of Master Love's sermon, preached the same day. All published for the good of the faithfull, at their desire. / By William Dell, minister of the Gospel, attending on his Excellency Sir Thomas Fairfax.","Dell, William, d. 1664.",Printed by R White for Giles Calvert at the Black spred Eagle near the West end of Pauls,London,"Love, Christopher, 1618-1651 --  Early works to 1800.; Bible. --  N.T. --  Hebrews IX, 10 --  Sermons.; Sermons, English --  17th century.; Church polity --  Sermons --  Early works to 1800.",1646,1
A85442,R207443,G1266,"The vvorld to come. Or, The kingdome of Christ asserted. In two expository lectures of Ephes. 1. 21, 22. verses. Prooving that between the state of this world as now it is, and the state of things after the day of judgement, when God shall be all in all: there is a world to come which is of purpose, and is a more especiall manner appointed for Jesus Christ to be king, and wherein he shall more eminently reign. / Preached by Mr. Tho: Goodwin many years since, at Antholins, London. Published for the truths sake.","Goodwin, Thomas, 1600-1680.",Printed and are to be sold in Popes head Alley and in Westminster Hall,London,"Bible. --  N.T. --  Ephesians I, 21-22 --  Sermons --  Early works to 1800.; Sermons, English --  Early works to 1800.",1655,1
A85505,R2879,G1462,"Things now-a-doing: or, The chvrches travaile of the child of reformation now-a-bearing. In a sermon preached before the honourable House of Commons, at their solemne fast, Iuly 31. 1644. By Stanley Gower, sometimes Rector of Brompton-Brian in the County of Hereford, now Preacher of Gods Word at Martins Ludgate, London: and one of the Reverend Assembly of Divines. Published by order of the said House.","Gower, Stanley.",Printed by G M for Philemon Stephens at the signe of the Golden Lyon in Pauls Church yard,London,"Bible. --  O.T. --  Daniel XII, 10 --  Sermons --  Early works to 1800.; Fast-day sermons --  17th century.; Great Britain --  History --  Puritan Revolution, 1642-1660.",1644,1
A85440,R202319,G1257,"A state of glory for spirits of just men upon dissolution, demonstrated. A sermon preached in Pauls Church Aug. 30. 1657. before the Rt. Honourable the Lord Mayor and aldermen of the City of London. / By Tho: Goodvvin, D.D. president of Magd. Coll. Oxon.","Goodwin, Thomas, 1600-1680.",Printed by J G for Robert Dawlman,London,"Election (Theology) --  Sermons --  Early works to 1800.; Sermons, English --  17th century.",1657,1
A89591,R201165,M797,"A tvvo-edged svvord out of the mouth of babes, to execute vengeance upon the enemy and avenger. Presented in a sermon to the Right Honourable the House of Lords assembled in Parliament, in the Abbey-Church at Westminster, Octob. 28. 1646. the solemn day of their monthly fast. / By Stephen Marshall B.D. minister of Gods Word at Finchingfield in Essex.","Marshall, Stephen, 1594?-1655.",Printed by R Cotes for Stephen Bowtell at the Bible in Popes head alley,London,"Bible. --  O.T. --  Psalms VIII, 2 --  Sermons.; Sermons, English --  17th century.; Fast-day sermons --  17th century.",1646,1
A85401,R5164,G1178,"Irelands advocate: or, A sermon preached upon Novem. 14, 1641. to promote the contributions by way of lending, for the present reliefe of the Protestants party in Ireland. In the parrish church of St. Stephens Coleman Street London, by the pastor there.","Goodwin, John, 1594?-1665.",Printed for William Larnar and are to be sold at his Shop at the signe of the Golden Anchor neere Paules Chaine,London,"Bible. --  N.T. --  John, 1st, III, 16 --  Sermons --  Early works to 1800.; Ireland --  History --  Rebellion of 1641.",1642,1
A87630,R207927,J952,A sermon preach't at Christs-Church Dublin before the generall convention of Ireland. May 24. 1660. By Henry Jones D.D. Vicechancellour of the University of Dublin and Bishop of Clogher.,"Jones, Henry, 1605-1682.",printed by J C for J Crook at the Ship in Pauls Church Yard,London,"Sermons, English --  17th century.",1660,1
A85371,R201278,G1094,"Jacob raised: or, The means of making a nation happy both in spiritual and temporal priviledges. Presented in a sermon preached before the Right Honorable House of Peeres in the Abby Church at Westminster, at the late solemne monthly fast, Decemb. 30. 1646. / By Willam [sic] Goode, B.D. and Pastor of Denton in Norfolk. Published by order of the House of Peeres.","Goode, William, b. 1599 or 1600.",Printed by T R and E M for Nath Webb and Will Grantham at the sign of the Grey hound in Pauls Church yard,London,"Bible. --  O.T. --  Amos VII, 5 --  Sermons.; Sermons, English --  17th century.; Fast-day sermons --  17th century.",1647,1
A87092,R202533,H718,"Divinity in mortality, or The Gospels excellency and the preachers frailty, represented in a sermon preached at the funerals of Mr Richard Goddard late minister of the parish of St Gregories by Pauls; who died on Thursday the 12th of May 1653. and was buried on Moonday [sic] the 16th day of the same moneth. By Nath. Hardy Master of Arts, and preacher to the parish of St Dyonis Back-Church.","Hardy, Nathaniel, 1618-1670.",Printed by A M for Nathanael Webb and William Grantham and are to be sold at the sign of the Black Bear in St Pauls Church yard near the little north door,London,"Goddard, Richard, d. 1653 --  Early works to 1800.; Bible. --  N.T. --  Corinthians, 2nd IV, 7 --  Sermons.; Funeral sermons --  Early works to 1800.; Sermons, English --  17th century.",1653,1
A84341,R212214,E48,"Good nevves for all Christian souldiers. Or The way to overcome the devill by the bloud of the lambe. As it was delivered in a sermon / by John Eachard, pastour of Darsham in Suffolke. Published according to order.","Eachard, John, 17th cent.",Printed by Matthew Simmons in Aldersgate streete,London,"Bible. --  N.T. --  Revelation XII, 11 --  Sermons.; Sermons, English --  17th century.",1645,1
A89580,R212613,M776,"A sermon preached before the Honourable House of Commons, now assembled in Parliament, at their publike fast, November 17. 1640. Upon 2 Chron. 15. 2. The Lord is with you, while yee bee with him: and if yee seek him, he will be found of you: but if yee forsake him, he will forsake you. / By Stephen Marshall, Batchelour in Divinity, minister of Finchingfield in Essex. Published by order of the said House.","Marshall, Stephen, 1594?-1655.",Printed by J Okes for Samuel Man dwelling in St Pauls Church yard at the signe of the Swan,London,"Bible. --  O.T. --  Chronicles, 2nd, XV, 2 --  Sermons --  Early works to 1800.; Fast-day sermons --  17th century.; Sermons, English --  17th century.",1641,1
A85013,R22109,F2423,"A fast sermon preached on innocents day by Thomas Fuller, B.D. Minister of the Savoy.","Fuller, Thomas, 1608-1661.",Printed by L N and R C for John Williams at the signe of the Crowne in Saint Pauls Church yard,London,"Bible. --  N.T. --  Matthew V, 9 --  Sermons.; Fast-day sermons --  Early works to 1800.; Sermons, English --  17th century.",1642,1
A89582,R201798,M779,"A sermon preached to the two Houses of Parliament, at their solemn meeting to praise God for his infinite mercy in the restoring of the said Houses of Parliament to their honor and freedome with so little effusion of blood: at the Abbey-Church in Westminster, Aug. 12. 1647. / By Stephen Marshall, B.D. Minister of Finchingfield in Essex.","Marshall, Stephen, 1594?-1655.",Printed by R Cotes for Stephen Bowtell at the Bible in Popeshead Alley,London,"Bible. --  O.T. --  Joshua XXII, 33 --  Sermons.; Sermons, English --  17th century.",1647,1
A85418,R5086,G1206,"Theomachia; or The grand imprudence of men running the hazard of fighting against God, in suppressing any way, doctrine, or practice, concerning which they know not certainly whether it be from God or no. Being the substance of two sermons, preached in Colemanstreet, upon occasion of the late disaster sustain'd in the west. With some necessary enlargements thereunto. / By John Goodvvin, pastor of the Church of God there.","Goodwin, John, 1594?-1665.",Printed for Henry Overton and are to be sold at his shop entering into Pope s head Alley out of Lumbard street,London,"Sermons, English --  Early works to 1800.",1644,1
A89500,R201634,M525,"Meate out of the eater, or, Hopes of unity in and by divided and distracted times. Discovered in a sermon preached before the Honourable house of Commons at Margarets Westminster on their solemne day of fast, June 30. 1647. / By Tho: Manton Minister of Stoke-Newington.","Manton, Thomas, 1620-1677.",Printed by M S for Hanna Allen at the Crowne in Popes head Alley,London,"Bible. --  O.T. --  Zechariah XIV, 9 --  Sermons.; Sermons, English --  17th century.; Fast-day sermons --  17th century.",1647,1
A86730,R1445,H340,"Heaven ravished: or A glorious prize, atchieved by an heroicall enterprize: as it was lately presented in a sermon to the honourable House of Commons, at their solemn fast, May 29. 1644. By Henry Hall, B.D. late fellow of Trin. Coll. in Cambridge. Printed by order of the said House.","Hall, Henry, B.D.",Printed by J Raworth for Samuel Gellibrand and are to be sold at his shop at the signe of the Brasen Serpent in Pauls Churchyard,London,"Bible. --  N.T. --  Matthew XI, 12 --  Sermons --  Early works to 1800.; Fast-day sermons --  17th Century.; Sermons, English --  17th century.",1644,1
A85510,R207370,G1477,"A modest vindication of the doctrine of conditions in the Covenant of Grace, and the defenders thereof, from the aspersions of arminianism & popery, which Mr. W. E. cast on them. By the late faithful and godly minister Mr. John Graile, minister of the gospel at Tidworth in the county of Wilts. Published with a preface concerning the nature of the Covenant of Grace, wherein is a discovery of the judgment of Dr. Twisse in the point of justification, clearing him from antinomianism therein. By Constant Jessop, minister of the Gospel at Wimborn minister in the county of Dorset. Whereunto is added, a sermon, preached at the funeral of the said Mr. John Grail. By Humphrey Chambers, D.D. and pastor of the church at Pewsie.","Chambers, Humphrey, 1598 or 9-1662.; Jessop, Constantine, 1601 or 2-1658. Pauls sad farewel to his Ephesians.; Graile, John.",Printed for Mat Keinton at the Fountain in Pauls Church yard,London,Church of England --  Doctrines --  Early works to 1800.; Covenant theology --  Early works to 1800.; Funeral sermons --  17th century.,1654,1
A86311,R201717,H175,"An alarm for London partly delivered in a sermon the last fast, neer by Bishopsgate in London. / By Iohn Hackluyt, a well-wisher to the peace of Englands Israel.","Hackluyt, John.",Printed by I Coe,London,"Sermons, English --  17th century.; Fast-day sermons --  17th century.; Great Britain --  History --  Civil War, 1642-1649 --  Sermons --  Early works to 1800.",1647,1
A86360,R9372,H2031,"The trade of truth advanced. In a sermon preached to the Honourable House of Commons, at their solemne fast, Iuly 27. 1642. By Thomas Hill, B.D. Pastor of the Church at Tychmersh in the countie of Northampton. Published by order of that House.","Hill, Thomas, d. 1653.",Printed by I L for Iohn Bellamie Philemon Stephens and Ralph Smith,London,"England and Wales. --  Parliament --  Early works to 1800.; Bible. --  O.T. --  Proverbs XXIII, 23 --  Sermons.; Fast-day sermons --  17th century.; Great Britain --  Politics and government --  1642-1649 --  Sources --  Early works to 1800.",1642,1
A82859,,E1620,"It is this day ordered by the Lords and Commons in Parliament, that all ministers in their severall churches on Wednesday next at the publike fast, and at all other times afterwards in their prayers before their sermons, shall earnestly and particularly pray for the special assistance and blessing of God upon the assembly of divines and others, appointed to meet at Westminster on Saterday[sic] the first day of July next to be consulted with by both houses of Parliament in matters concerning religion. And that this order be forthwith printed and sent to all parish churches. Jo. Brown Cler. Parliamentorum.",England and Wales. Parliament.,for John Wright in the Old Baily,Printed at London,Westminster Assembly (1643-1652); Fast-day sermons --  17th century.,1643,1
B25417,,K52,"A call to weeping: or A warning touching approaching miseries In a sermon preached on the 20th of March, 1699. At the funeral of Mrs. Elizabeth Westen, late wife of Mr. John Westen, who departed this life on the 17th of the said month, in the 38th year of her age. By Benjamin Keach.","Keach, Benjamin, 1640-1704.",printed for and sold by John Marshal at the Bible in Grace Church street,London,"Sermons, English --  17th century.; Funeral sermons --  17th century.",1699,2
B29289,,S546A,"The wise and faithful steward. Or, A narration of the exemplary death of Mr. Beniamin Rhodes steward to the right honourable Thomas Earl of Elgin, &c. Briefly touch'd in a funeral sermon, and since enlarged. Together with some remarkable passages concerning Mrs Anne Rhodes his wife, who dying few houres after him, was buried together in the same grave with him in Malden Church in Bedfordshire, Aug. 4. 1657.","Samways, Peter, 1615-1693.",printed by VVilliam Godbid,London,"Rhodes, Benjamin, d. 1657 --  Early works to 1800.; Rhodes, Anne, d. 1657 --  Early works to 1800.; Funeral sermons --  17th century.",1657,2
B24122,,H1610,"An exhortation to frequent receiving the holy sacrament of the Lord's Supper, or, A plain and practical discourse upon part of I Cor. II, 26 being the substance of several sermons preached in St. Hellens Church, London / by Hen. Hesketh ...","Hesketh, Henry, 1637?-1710.",Printed for W Kettilby,London,"Bible. --  N.T. --  Corinthians, 1st, II, 26 --  Commentaries.; Lord's Supper.; Theology, Doctrinal.; Sermons, English --  17th century.",1684,2
B23761,,G2016A,The Samaritan revived and the course he then took to cure the wounded traveller by powring in wine and oyl : historically applyed for the sound and speedy healing of our present dangerous distractions : with a sermon preacht by the same author upon Prov. 24:21 ... / by Matthew Griffith.,"Griffith, Matthew, 1599?-1665.; Griffith, Matthew, 1599?-1665. Fear of God and the King.",Printed for Tho Johnson,London,Fear of God --  Sermons.; Kings and rulers --  Biblical teaching.; Great Britain --  Politics and government --  1642-1660 --  Moral and ethical aspects.,1660,2
B23750,,G1963,"The Lord Jesus Christ the Lord our righteousness, or, Christ the righteousness of a sinner before God delivered in several sermons some years since by Obadiah Grew.","Grew, Obadiah, 1607-1689.",Printed for John Brooke,London,"Sermons, English --  17th century.",1669,2
B26466,,M382,"A brief and practical discourse of abstinence in time of Lent wherein is shewed the popular mistake and abuse of the word superstition / preached at the Cathedral of St. Patrick Dublin, on Ashwednesday March 1, 1681/2, by Peter Manby, Dean of Derry.","Manby, Peter, d. 1697.",Printed by Joseph Ray for William Winter Bookseller and are to be sold by the rest of the booksellers,Dublin,"Bible. --  N.T. --  Matthew IV, 2 --  Sermons.; Lent --  Sermons.; Sermons, English --  17th century.",1682,2
B26784,,M1819,"The obligation of a good conscience to civil obedience being the substance of a sermon preached before the judges, at the assises held at Huntington Aug. 24. 1670 / John Meriton ...","Meriton, John, b. ca. 1630.",Printed by S G and B G for Francis Eglesfield,London,"Government, Resistance to --  Religious aspects --  Sermons.; Sermons, English --  17th century.",1670,2
B36555,,,"The spouses carriage in the wildernesse, in her leaning upon her welbeloved, opening the temper of the beleeving-soule in her severall wildernesses ... in a sermon formerly preacht in Andrewes Parish in Norwich, now reprinted, being corrected by the author / by John Collings ...","Collinges, John, 1623-1690.",Printed for Rich Tomlins,London,"Sermons, English --  17th century.",1650,2
B14334,,,"An exposition vpon the Lords prayer Deliuered in certaine sermons, in the cathedrall church of S. Paul. By Henry King Archdeacon of Colchester, and residentiary of the same church.","King, Henry, 1592-1669.",Printed by Iohn Hauiland and are to be sold by Iohn Partridge in Pauls Church yard at the signe of the Sunne,London,"Lord's prayer --  Early works to 1800.; Sermons, English --  17th century.",1628,2
B15398,,,"The vvatchman vvarning A sermon preached at Pauls Crosse the 26. of September, 1624. By William Procter, Master of Arts, and minister of Gods Word.","Procter, William.",Printed by Augustine Mathevves and are to bee sold at the New Exchange,London,"Sermons, English --  17th century.",1625,2
B12273,S117450,6038,"The harmonie of the lawe and the gospel Wherin is plainly shewed, that howsoeuer they differ in time and some other circumstances, yet in substance they are one & the same. And by waie of application, the pretended antiquitie of Poperie is discouered, and found to be a meere nouelty: deliuered in a sermon at Pauls-crosse, the 9. of Aug. 1607. by George Cresvvell, minister of Gods word.","Creswell, George.",By H L ownes for William Leake,Imprinted at London,"Sermons, English --  17th century.",1607,2
B13693,,,"A sermon concerning the Epiphany preached at the cathedrall church of Christ in Oxford. By Richard Gardyner, D.D. and canon of the same church.","Gardiner, Richard, 1591-1670.",Printed by Leonard Lichfield and are to be sold by Matth Hunt,Oxford,"Sermons, English --  17th century.; Epiphany --  Sermons.",1639,2
B15202,,,Saint Pauls rule for religious performances A sermon preached May 15. Anno Domini 1631. By Henry Paynter B.D. Preacher of Gods Word in the city of Exeter.,"Paynter, Henry, b. 1582 or 3.",Printed by I B eale for Nathaniel Butter,London,"Paul, --  the Apostle, Saint --  Sermons --  Early works to 1800.; Sermons, English --  17th century.",1632,2
B16321,,,"The ready vvay to trve repentance: or, A Godly, and learned treatise, of the repentance of Mary Magdalen: opened in diuers sermons at the first; begun in little Alhallowes vpon the Wall, London, the 21. day of Septemb. 1616. and continued in S. Peters Church in Sandwich; contayning doctrine of faith. / By Harim White ... ; Whereunto also, by request, are added certaine other sermons, preached by the same author, vpon diuers occasions, in his priuate cure.","White, Harim, d. 1627.",by G E for T B,Printed at London,"Mary Magdalene, --  Saint --  Sermons.; Repentance --  Early works to 1800.; Sermons, English --  17th century.",1618,2
B15290,,,The life and death of the rich man and Lazarus anothomized by way of meditation. With the rich mans funerall sermon. By George Phillips.,"Phillips, George, fl. 1597.",Printed by Edward Allde for Edward White and are to be solde at his shop neere vnto the little north doore of Paules at the signe of the Gun,London,"Rich man and Lazarus (Parable) --  Sermons --  Early works to 1800.; Sermons, English --  17th century.",1600,2
B15498,,,"Moses old sqvare for ivdges. Deliuered in a sermon in the Greeneyard in Norvvich, the 17. of Iuly, 1631. / By Tho. Reeve ...","Reeve, Tho. (Thomas), 1583 or 4-1651",Printed by Avgvstine Mathevves for Iohn Grismond and are to be sold by Edvvard Martin,London,"Sermons, English --  17th century.",1632,2
B15443,,,"A sermon vpon part of the eighteenth Psalm preached to the publik assembly of scholers in the Vniuersitie of Oxford the last day of August, 1586. by Iohn Rainolds: vpon occasion of their meeting to giue thanks to God for the late detection and apprehension of traitours, who wickedlie conspired against the Queenes Maiestie and the state of the realme.","Rainolds, John, 1549-1607.",Printed by Ioseph Barnes printer to the Vniuersitie,At Oxford,"Sermons, English --  16th century.",1586,2
B10177,R185406,T1963,"A sermon preached at the visitation of the right worshipfull Dr. Luddington, the reverend arch-deacon of Stowe, in the Church of S. Paul in Lincoln upon the 28 of April, 1663. / By Willian Towers ...","Towers, William, 1617?-1666.; Luddington, Dr.",Printed for Timothy Garthwait,London,"Bible. --  O.T. --  Proverbs XI, 30 --  Sermons --  Early works to 1800.; Sermons, English --  17th century.",1663,2
B11412,,,A commentarie or exposition vpon the second chapter of the prophecie of Amos Deliuered in xxi. sermons in the parish church of Meysey-Hampton in the diocesse of Glocester. By Sebastian Benefield ...,"Benefield, Sebastian, 1559-1630.",Printed by Edward Griffin for Iohn Parker and are to be sold in Paules Church yard at the signe of the three Pigeons,London,"Bible. --  O.T. --  Amos II --  Commentaries.; Sermons, English --  17th century.",1620,2
B14618,,,"The high way to honor: as it was deliuered (for substance) in two sermons, at Alhallowes Barking in London, the one of August 6. the other on August 13. 1626. By Robert Louell minister and preacher of Gods worde, and curate of the same place","Lovell, Robert, curate of Allhallows, Barking.",Printed by E A llde for Ni Bourne dwelling at the South entrance of the Royall Exchange,London,"Sermons, English --  17th century.",1627,2
B12016,,,"Humilitie, the saints liuerie; or, The habit of humilitie, the grace of graces fetched out of the wardrobe of Saint Paul. As it was deliuered (for substance) in two sermons at Blacke-Fryers in London, the one, September 22. the other, October 6. 1624. By Daniel Cavvdrey minister of the Word of God, at little Ilford in Essex.","Cawdrey, Daniel, 1588-1664.",Printed by Iohn Haviland for Edward Brewster and are to be sold at the great west doore of Saint Pauls,London,"Sermons, English --  17th century.",1624,2
B14274,,,"The conquest of the saints: or A short treatise of concord and peace vvherein is shewed the necessity of unity and peace, without which neither church nor common-wealth can stand. Preached by John Jones Master of Arts, late minister at St. Michael Bashenshaw in London: and now published for the common good.","Jones, John, minister at St. Michael Bashenshaw, London.",Printed by G eorge M iller for William Jones dwelling in Red Crosse streete,London,"Sermons, English --  17th century.; Peace --  Sermons.",1639,2
B10074,R184576,S5206,"Certain queries concerning the receiving of the sacrament preached in a sermon on Saint Luke 9. Vers. 30, 31 / by Richard Standfast.","Standfast, Richard, 1608?-1684.",Printed for Charles Allen Bookseller in Bristol,London,"Bible. --  N.T. --  Luke 9, 30-31 --  Sermons.; Sermons, English --  17th century.; Lord's Supper --  Church of England --  Early works to 1800.",1680,2
B10050,R184316,S4138,A description of the natural condition of being in the flesh. A sermon / preached by Nicholas Smyth ... And published at the request of some private friends for the publique good.,"Smith, Nicholas, d. 1680.",Printed by J Owsley for Rich Knowls,London,"Bible. --  N.T. --  Romans VIII, 8 --  Sermons --  Early works to 1800.; Flesh and spirit antithesis (Pauline doctrine) --  Sermons --  Early works to 1800.; Sermons, English --  17th century.",1657,2
B04981,R182680,R1123,A warning-piece to repentance presented in an assize-sermon preached in the cathedral chruch of Lincoln. Aug. 15. 1664. / By William Reresby doctor in divinity.,"Reresby, William, d. 1670.",Printed for G Bedel and T Collins at their Shop next the Middle Temple Gate in Fleet street,London,"Bible. --  O.T. --  Amos IV, 12 --  Sermons --  17th century.; Justice, Administration of --  Sermons --  17th century.; Christianity and justice --  Sermons --  17th century.; Assize sermons --  England --  17th century.",1664,2
B08159,S123735,23819.5,"An answer to that question, Hovv farre it is lavvfvll to flee in the time of the plagve extracted out of a sermon preached in Alderman-bury, / by Thomas Taylor..","Taylor, Thomas, 1576-1632.",Printed by T P for Iohn Bartlet,London,"Bible. --  O.T. --  Proverbs XXII, 3 --  Sermons.; Sermons --  England --  17th century.; Plague --  England --  Sermons --  Early works to 1800.; Broadsides --  England --  17th century.",1636,2
B02484,R175851,C7027B,"Hebdomada magna, or The great weeke of Christs passion. Handled by way of exposition upon the fourth article of the Apostles Creed: He suffered under Pontius Pilate; was crucified, dead, buried. / By John Crompe, Master of Arts of C.C.C. in Cambridge, and vicar of Thornham in Kent. First preached in his parish church, and now enlarged as here followes for more publike use.","Crompe, John.",Printed by Stephen Bulkley for Henry Twyford and are to be sold at the three Daggers in Fleetstreet neare the Inner Temple Gate,London,"Jesus Christ --  Passion --  Early works to 1800.; Apostles' Creed --  Commentaries --  17th century.; Sermons, English --  17th century.",1641,2
