A68214,0,2,11,IMAGE,0,"P A G Ei The fyrste Sermon made the.xix. day of March, in the yere of our lord a.","PAGEi PAGEi PAGEi PAGEi The First Sermon made the xix day of March, in the year of our lord a."
A68214,29,2,14,IMAGE,3,"Moses instructynge the people in the truith of the fyrst questyon whence the wyl of God should be knowe, commaundeth them neither to loke it in Aegipt nor else where, but in the worde of God. Deut. xxx. and Sayncte Paule doth the same.","Moses instructing the people in the truith of the fyrst question whence the will of God should be know, commandeth them neither to look it in Egypt nor Else where, but in the word of God. Deuteronomy xxx. and Saint Paul does thee same."
A68214,30,2,14,IMAGE,3,Roma. x. and S. Ihon.i. sayth:,Roma. x. and S. John i say:
A68214,31,2,14,IMAGE,3,"Noman hath sene the father, but ye sone, and he vnto whome the sonne hathe openyd the father vnto.","Roman hath seen the father, but you soon, and he unto whom the son hath opened the father unto."
A68214,32,2,14,IMAGE,3,"God therefore and hys blessed wyll is knowen vnto vs, because P A G Eiiii he hathe spoken vnto vs by hys deare beloued sonne.","God Therefore and his blessed will is known unto us, Because PAGEiiii PAGEiiii PAGEiiii PAGEiiii he hath spoken unto us by his deer Beloved son."
A68214,34,2,14,IMAGE,4,Heb. i. As he spake before time vnto ye world by his prophets.,Hebrew i. As he spoke before time unto you world by his Prophets.
A68214,35,2,14,IMAGE,4,"From Christ therfore and hys worde, commeth the knowlege of Gods wil, for the father bid vs hire him.","From christ Therefore and his word, comes the knowledge of God's will, for the father bid us hire him."
A68214,36,2,14,IMAGE,4,Mat. iii.vii. Io. x.,Mathew. iii.vii. Io. x.
A68214,37,2,14,IMAGE,4,"Nowe what hys wil is, ye truth also appereth out of the booke of God and oute of none other mans writinges.","Now what his will is, you truth also appeareth out of the book of God and out of none other men writings."
A68214,38,2,14,IMAGE,4,Mark. i. hys wyll to the worlde is thys:,Mark. i. his will to the world is this:
A68214,39,2,14,IMAGE,4,"Do penaunce, and beleue the Gospel.","Do penance, and believe the Gospel."
A68214,40,2,14,IMAGE,4,"That is to saye: let euerye man bewayle, and repet him of hys synnes, and desyre the remyssyon and pardon thereof for Christes sake.","That is to say: let every man bewail, and repet him of his Sins, and desire the remission and pardon thereof for Christ's sake."
A68214,41,2,14,IMAGE,4,"For whom, the Gospel sheweth, our sinnes shalbe forgeue.","For whom, the Gospel shows, our Sins shall forgive."
A68214,42,2,14,IMAGE,4,Ihon. i. iii.iiii. v. vi. Math. xi.,John i. iii.iiii. v. vi. Math. xi.
A68214,43,2,15,IMAGE,4,"Rom. v. Eph. i. Thys doctrine from the fal of ma hath bene alwayes taught in the Catholicke Churche of Christ vnto al nacions, as the wrytynges of the Prophetes, and Apostles dothe testifye:","Rom. v. Ephesians i. This Doctrine from the fall of ma hath be always taught in the Catholic Church of christ unto all Nations, as the writings of the prophets, and Apostles doth testify:"
A68214,44,2,15,IMAGE,4,"in whom is fully, and aboudautly conteined al truth, and veritie, and lefte here for oure doctrine and consolacio. Rom. xv.","in whom is Fully, and aboudautly contained all truth, and verity, and left Here for our Doctrine and consolacio. Rom. xv."
A68214,45,2,15,IMAGE,4,"Among the whych is also conteyned as a most faythful wytnesse of all truthe, and verytie, thys holye Prophet Ionas, who was sende by God to the Citie of Niniue, to preach vnto them Gods pleasure, and amendemet of lyfe, or else wythin fourtye daies, both they and the Citie, shoulde be destroied.","Among the which is also contained as a most faithful witness of all truth, and verytie, this holy Prophet Jonah, who was send by God to the city of Nineveh, to preach unto them God's pleasure, and amendemet of life, or Else within fourtye days, both they and the city, should be destroyed."
A68214,47,2,15,IMAGE,5,Thys Prophet haue I take to interpretate for two causes.,This Prophet have I take to interpretate for two Causes.
A68214,48,2,15,IMAGE,5,"P A G Ev The one, to declare vnto ye kynges maiestye and his most honorable cousel, that the doctryne we preach vnto hys maiesties subiectes, is one and the same, with the Prophetes, and Apostles.","Page Page Page Page The one, to declare unto the Kings majesty and his most honourable counsel, that the Doctrine we preach unto his majesty's Subjects, is one and the same, with the prophets, and Apostles."
A68214,49,2,15,IMAGE,5,"And as olde as the doctrine of them both, and not as new as these Papystes, and new learned men of Papystry, wold beare the people in hand.","And as old as the Doctrine of them both, and not as new as these Papists, and new learned men of Tapistry, would bear the people in hand."
A68214,50,2,15,IMAGE,5,The secode cause is: to declare whych way the synfull worlde may be reconcyled vnto God.,The Second cause is: to declare which Way the sinful world may be reconciled unto God.
A68214,51,2,15,IMAGE,5,"And for the better vnderstandynge of the Prophet,","And for the better understanding of the Prophet,"
A68214,52,2,15,IMAGE,5,I wyll deuide him into fowre partes.,I will divide him into fowre parts.
A68214,53,2,15,IMAGE,5,"The fyrst coteineth, into what daunger Ionas fel by dysobeing of Gods commaundemet.","The fyrst coteineth, into what danger Jonah fell by dysobeing of God's Commandment."
A68214,54,2,16,IMAGE,5,"The seconde parte conteyneth, howe Ionas vsed hym selfe in the fyshes bellye.","The seconde part Containeth, how Jonah used him self in the fishes belly."
A68214,55,2,16,IMAGE,5,"The thyrde part conteineth the amedemet, and couersyon of the Niniuites at ye preachyng of Ionas.","The Third part Containeth the amedemet, and couersyon of the Niniuites At you preaching of Jonah."
A68214,56,2,16,IMAGE,5,"The fourth part coteyneth an obiurgacion,","The fourth part coteyneth an obiurgacion,"
A68214,57,2,16,IMAGE,5,"& rebuke of god, because Ionas lamented the saluacion of ye people and citie. The fyrst Parte.","& rebuke of god, Because Jonah lamented the salvation of the people and City. The fyrst Parte."
A68214,58,2,16,IMAGE,6,The first part is deuided in to thre members.,The First part is divided in to Three members.
A68214,59,2,16,IMAGE,6,"The one conteineth the Embassage, and legacye of Ionas vnto Niniue.","The one Containeth the Embassy, and legacy of Jonah unto Nineveh."
A68214,60,2,16,IMAGE,6,The other conteyneth Ionas dysobedience.,The other Containeth Jonah dysobedience.
A68214,61,2,16,IMAGE,6,The thyrde conteyneth the payne and punishment of Ionas disobedience.,The Third Containeth the pain and punishment of Jonah disobedience.
A68214,63,2,16,IMAGE,7,The Embassage is described wyth these wordes.,The Embassy is described with these words.
A68214,65,2,16,IMAGE,8,"T He worde of the Lorde came vnto Ionas ye sone P A G Evi of Amithai, saying:","THe THe word of the Lord Come unto Jonah you soon PAGEvi PAGEvi PAGEvi PAGEvi of Amithai, saying:"
A68214,66,2,16,IMAGE,8,"Arise, and get the to Niniue that great Citie,","Arise, and get thee to Nineveh that great city,"
A68214,67,2,16,IMAGE,8,"& crye out againste it, for theyr wyckednesse is come vp before me.","& cry out against it, for their wickedness is come up before me."
A68214,69,2,16,IMAGE,9,"It is not ye lest help that the reder or teacher of ani prophet or other part of ye scriptur shal haue, to knowe of what place, vnder what king, in what state of comon wealth, ye prophet liued, yt he purposith to interpretate:","It is not the lest help that the reder or teacher of ani Prophet or other part of you scripture shall have, to know of what place, under what King, in what state of Common wealth, you Prophet lived, that he purposith to interpretate:"
A68214,70,2,16,IMAGE,9,"al these things as touchig our Ionas, is declared in the iiii. booke of ye kings, the. xiiii. cap.","all these things as touchig our Jonah, is declared in the iiii. book of the Kings, the. xiiii. cap."
A68214,71,2,16,IMAGE,9,"He liued in Samaria vnder an Idololatrical king Ieroboam, ye sonne of Ioas, a detestable Idololater:","He lived in Samaria under an Idololatrical King Jeroboam, you son of Joash, a detestable Idolater:"
A68214,72,2,16,IMAGE,9,& in Iuda at yt time reigned kig Amasias,& in Juda At that time reigned kig Amasias
A68214,73,2,17,IMAGE,10,"And thys Ionas labored in the ministery of Gods word at one tyme, wyth Amos,","And this Jonah laboured in the Ministry of God's word At one time, with Amos,"
A68214,74,2,17,IMAGE,10,"Oseas, and Ioell the true Prophetes of God.","Hosea, and Joel the true prophets of God."
A68214,75,2,17,IMAGE,10,"The state and condicion of the commone wealthe, was troublous and verye vnquiet, forbecause ye Israelits bi their Idololatri in folowing yt learning inuented by man, and leuing ye word of god,","The state and condition of the Common wealth, was troublous and very unquiet, forbecause you Israelites by their Idololatri in following that learning invented by man, and leuing the word of god,"
A68214,76,2,17,IMAGE,10,"God punyshed them wt many greate & cruel warres,","God punished them with many great & cruel wars,"
A68214,77,2,17,IMAGE,10,"Yet after hys accustomed pytye and compassio vpon those that he punysheth, to remoue ye occasion that worketh gods yre and displeasure, he sent them dyuers tymes his holy Prophetes, that shoulde cal the from theyr Idololatry and corrupt lyuyng as Elias,","Yet After his accustomed pity and Compassion upon those that he Punisheth, to remove you occasion that works God's ire and displeasure, he sent them Diverse times his holy prophets, that should call thee from their Idolatry and corrupt living as Elias,"
A68214,78,2,17,IMAGE,10,"Elizeus, and this our Prophet P A G Evii Ionas, but all in vayne:","Elisha, and this our Prophet Page vii Page vii Page vii Page vii Jonah, but all in vain:"
A68214,79,2,17,IMAGE,10,"they wold be noughty Idololatres and vicious lyuers continually, mawgree gods heade, and would (as we now adayes, for the most parte do) rather geue faythe vnto the Prophetes of men, and lyars, then vnto the Prophetes of god, that be true men:","they would be naughty Idolaters and vicious livers continually, mawgree God's head, and would (as we now adays, for the most part do) rather give faith unto the prophets of men, and liars, then unto the prophets of god, that be true men:"
A68214,80,2,17,IMAGE,10,"But ther reward was (as ours shalbe, except we amende) vtter destruccio, and losse both of them selues, and theyr commune wealthe.","But there reward was (as ours shall, except we amend) utter destruccio, and loss both of them selves, and their commune wealth."
A68214,81,2,17,IMAGE,10,"The commone wealth and state of Israel and Iuda, thus troublouslye being afflicted, the commaundement of god came vnto thys oure Ionas, that he sholde go to the great Citie of Niniue, as the text saith.","The Common wealth and state of Israel and Juda, thus troublously being afflicted, the Commandment of god Come unto this our Jonah, that he should go to the great city of Nineveh, as the text Says."
A68214,82,2,18,IMAGE,10,"In the which words note fyrste that no man can, or may teach truly ye word of god, but he be called ordynarylye, or extraordinarily.","In the which words note First that no man can, or may teach truly the word of god, but he be called ordynarylye, or extraordinarily."
A68214,83,2,18,IMAGE,10,"Ordinarily wher as is no corruptio of the ministery in the church, neither in doctrine, neither in the right ministracion of the sacramets, whyche be as seales and conclusions of Gods holy worde.","Ordinarily where as is no Corruption of the Ministry in the Church, neither in Doctrine, neither in the right ministration of the Sacraments, which be as Seals and conclusions of God's holy word."
A68214,84,2,18,IMAGE,10,"Wher as this integritie I say remayneth in the Churche, noman ought wtout the appointment of the hygher powers to intrude or appoynt hym self to preache, or minister, as it was in Moses tyme and the Apostelles.","Where as this integrity I say remaineth in the Church, Roman ought without the appointment of the higher Powers to intrude or appoint him self to preach, or minister, as it was in Moses time and the Apostles."
A68214,86,2,18,IMAGE,11,"Extraordinaryly is, when immediatelye any ma is called by God, wher as the ministery of the church is corrupted, as it was in the tyme of yt prophets P A G Eviii and of Christ, that called to minister such as the common face and greatest multitude of the worlde, woulde not admitte, no not the hygh byshop, and those that then were called the holye churche, as is to be seene by Amos,","Extraordinarily is, when immediately any ma is called by God, where as the Ministry of the Church is corrupted, as it was in the time of that Prophets Page viii Page viii Page viii Page viii and of christ, that called to minister such as the Common face and greatest multitude of the world, would not admit, no not the high bishop, and those that then were called the holy Church, as is to be seen by Amos,"
A68214,87,2,18,IMAGE,11,"Ionas, Hieremie, Moses and Paule, wyth other.","Jonah, Jeremiah, Moses and Paul, with other."
A68214,88,2,18,IMAGE,11,"They are to be rebuked therfore that intrudeth and put them selues wythout lawful callynge into ye ministerye of ye Church, other wyth money, or praier, and bye them selues into the Churche, which thing through al papistry is acomon practyse & dayly vsed thinge.","They Are to be rebuked Therefore that intrudeth and put them selves without lawful calling into you Ministry of the Church, other with money, or prayer, and buy them selves into the Church, which thing through all papistry is acomon practise & daily used thing."
A68214,89,2,18,IMAGE,11,"For in case they sought not of their bishopprik more ryches and honoure, then the necessari trauels & labours that be annexed vnto the vocacacion,","For in case they sought not of their bishopprik more riches and honour, then the Necessary travels & labours that be annexed unto the vocacacion,"
A68214,90,2,19,IMAGE,11,they woulde not stryue so sore who might lepe vp first to the bishoppes and persones vocacion.,they would not strive so soar who might leap up First to the Bishops and Persons vocation.
A68214,91,2,19,IMAGE,11,"Ther woulde not so many princes contend, and labour, for the seate of Rome, the nest of abhominacion.","There would not so many Princes contend, and labour, for the seat of Room, the nest of abomination."
A68214,92,2,19,IMAGE,11,"If ther were not in it rather the patrimonye of Iudas and Simon Magus, then the laboure of Christ & Peter, more ease then payne, more ryches then bourden.","If there were not in it rather the patrimony of Judas and Simon Magus, then the labour of christ & Peter, more ease then pain, more riches then bourden."
A68214,93,2,19,IMAGE,11,"The Text saith: that thys prophet beyng called by God, was sente to Niniue.","The Text Says: that this Prophet being called by God, was sent to Nineveh."
A68214,94,2,19,IMAGE,11,"Of thys cityes originall, reade the.x. of of Gen.","Of this cities original, read the x of of Gen."
A68214,95,2,19,IMAGE,11,"It was the chiefe citie of the Assirias, vnto the whych Ionas was sent and the consideracion therof, that in case the heade Citye be well instructed of a realme, there is the better P A G Eix hope of all the reast.","It was the chief City of the Assyria, unto the which Jonah was sent and the consideration thereof, that in case the head city be well instructed of a realm, there is the better Page ix Page ix Page ix Page ix hope of all the reast."
A68214,96,2,19,IMAGE,11,"Therfore god hath vsed from the beginnynge of common wealthes to be mercyfull vnto the greatest cities therof, and hath sent the most preachers of y truithe, as it is to be seene in these dayes, what God hathe shewed vpon London.","Therefore god hath used from the beginning of Common wealths to be merciful unto the greatest cities thereof, and hath sent the most Preachers of y truth, as it is to be seen in these days, what God hath showed upon London."
A68214,97,2,19,IMAGE,11,"And as he offereth them fyrste the tokens of hys merci, so first he reuegeth their vnkyndnes wyth hys punishment (if they neglect and contemne the grace offered.) It is to be noted that thys Cytye of Niniue was Idololatrycall, and Gentelyshe, neuer vnder the dysciplyne and doctryne of Moses.","And as he Offereth them First the tokens of his merci, so First he reuegeth their unkindness with his punishment (if they neglect and contemn the grace offered.) It is to be noted that this city of Nineveh was Idolatrical, and Gentilesse, never under the dysciplyne and Doctrine of Moses."
A68214,99,2,20,IMAGE,12,"Yet vnto it sendeth the lord his Prophet to declare vnto ye Iewes that the Ceremonies & workes of the law, wherof they most gloried and extolled them selues, were not necessari to saluacion, but geuen for a time to excercise theyr obedience in the commaundement of God.","Yet unto it sends the lord his Prophet to declare unto you Jews that the Ceremonies & works of the law, whereof they most gloried and extolled them selves, were not Necessary to salvation, but given for a time to Exercise their Obedience in the Commandment of God."
A68214,100,2,20,IMAGE,12,And to trust in Christe of who their rites & sacrifices were fygures and shadowes of:,And to trust in Christ of who their Rites & Sacrifices were figures and shadows of:
A68214,101,2,20,IMAGE,12,"further the Lorde declareth by thys embassage vnto Niniue, that the ignoraunte and supersticious Getils be more redy to receaue the lyuing worde of God, then the harde harted Iewes:","further the Lord Declareth by this Embassy unto Nineveh, that the ignorant and superstitious Gentiles be more ready to receive the living word of God, then the harden hearted Jews:"
A68214,102,2,20,IMAGE,12,As it is to be sene at thys preset day.,As it is to be seen At this preset day.
A68214,103,2,20,IMAGE,12,"More easie it is to conuert vnto God ten symple and ignoraunt soules, the one that hath bene broughte vp,","More easy it is to convert unto God ten simple and ignorant Souls, the one that hath be brought up,"
A68214,104,2,20,IMAGE,12,& is wedded to the vngodlye doctryne and P A G Ex tradycions of men.,& is wedded to the ungodly Doctrine and Page Page Page Page traditions of men.
A68214,105,2,20,IMAGE,12,"Moreouer the Lord in sekyng the wealth of these Assitias, declareth that he is not onelye the God of the Iewes, but also of the Getils. Rom. iii. Act. x.","Moreover the Lord in seeking the wealth of these Assyrians, Declareth that he is not only the God of the Jews, but also of the Gentiles. Rom. iii. Act. x."
A68214,106,2,20,IMAGE,12,The text declareth to what ende Ionas was sent to the Citye.,The text Declareth to what end Jonah was sent to the city.
A68214,107,2,20,IMAGE,12,What to doto bryng in the Ceremonyes of of Moses law?,What to doto bring in the Ceremonies of of Moses law?
A68214,108,2,20,IMAGE,12,"Nay, but to cry out agaynst it.","Nay, but to cry out against it."
A68214,109,2,20,IMAGE,12,"That is to say, playnlye and openlye to shewe Gods pleasure vnto them:","That is to say, plainly and openly to show God's pleasure unto them:"
A68214,110,2,20,IMAGE,12,"and not agaynst one or twoo of the citie, but generally against the whole Citie, without respect of persons:","and not against one or twoo of the City, but generally against the Whole city, without respect of Persons:"
A68214,111,2,20,IMAGE,12,"Against the kyng, the Prynces, the lawers, the Priestes, and the common people.","Against the King, the Princes, the Lawyers, the Priests, and the Common people."
A68214,112,2,20,IMAGE,12,And thys was the dewtye and offyce of all the Prophetes.,And this was the duty and office of all the prophets.
A68214,114,2,21,IMAGE,13,Esay. lviii. Crye out and ceasse not.,Isaiah. lviii. Cry out and cease not.
A68214,115,2,21,IMAGE,13,Also Hier. ii. vii.,Also Hier. ii. vii.
A68214,116,2,21,IMAGE,13,"The same commaundemente was geuen to all the Apostles,","The same Commandment was given to all the Apostles,"
A68214,117,2,21,IMAGE,13,Mark. xvi. Math. xxviii.,Mark. xvi. Math. xxviii.
A68214,118,2,21,IMAGE,13,The same commaundeth S. Paule. ii. Tim. iiii. preache in tyme and out of tyme.,The same commandeth S. Paul. ii. Tim. iiii. preach in time and out of time.
A68214,119,2,21,IMAGE,13,"Th^s is the note and marke to know the byshoppes and ministers of god, from the mynisters of the deuyll:","This is the note and mark to know the Bishops and Ministers of god, from the Ministers of the Devil:"
A68214,120,2,21,IMAGE,13,"by the preachyng tounge of the Gospel, and not by shauyng, clyppyng, vestyments and vtward apparel.","by the preaching tongue of the Gospel, and not by shaving, clipping, vestyments and vtward apparel."
A68214,121,2,21,IMAGE,13,"The text maketh answer to an obieccio that myght be demaunded wherefore God woulde sende Ionas, a man of base sorte, to rebuke so greate a kyng wyth hys councell and common wealth.","The text makes answer to an obieccio that might be demanded Wherefore God would send Jonah, a man of base sort, to rebuke so great a King with his council and Common wealth."
A68214,123,2,21,IMAGE,14,Because theyr syns P A G Exi are come vp before the face of the Lord.,Because their Sins Page xi Page xi Page xi Page xi Are come up before the face of the Lord.
A68214,125,2,21,IMAGE,15,Of thys aunswer we learn three thynges.,Of this answer we Learn three things.
A68214,126,2,21,IMAGE,15,"The fyrste that the Lorde seyth, marketh, and is displeased wyth our sinnes, althoughe we lyue in al securitie and careles, as though oure synnes offended God nothyng at all.","The First that the Lord Saith, marks, and is displeased with our Sins, although we live in all security and careless, as though our Sins offended God nothing At all."
A68214,127,2,21,IMAGE,15,"The seconde, as manye tymes as God sendeth suche Preachers, as wythoute feare sheweth vnto the world Gods woorde, and punyshmente for synne, that theyr synne is full rype, and that they must either amende at the preachynge, or vtterlye to peryshe vnder the plage, and scourge of God.","The seconde, as many times as God sends such Preachers, as without Fear shows unto the world God's word, and punishment for sin, that their sin is full ripe, and that they must either amend At the preaching, or utterly to perish under the plague, and scourge of God."
A68214,129,2,21,IMAGE,16,"Thus Noah was preacher before the flood,","Thus Noah was preacher before the flood,"
A68214,130,2,22,IMAGE,16,"Ionas before the destruccio of Niniue,","Jonah before the destruccio of Nineveh,"
A68214,131,2,22,IMAGE,16,"Loth of Sodome, Christ and his Apostles of Hierusalem.","Loath of Sodom, christ and his Apostles of Jerusalem."
A68214,132,2,22,IMAGE,16,"Seyng nowe that God hathe sent hys worde, hys king, his magistrates, and hys Preachers into England, it is (take hede of it) a very token, that the sinnes of Englande is ascended vp into hys sight, and that out of hand we amend, or sodenlye to looke for the most seuere & cruel punyshment of God.","Sing now that God hath sent his word, his King, his Magistrates, and his Preachers into England, it is (take heed of it) a very token, that the Sins of England is ascended up into his sighed, and that out of hand we amend, or suddenly to look for the most severe & cruel punishment of God."
A68214,133,2,22,IMAGE,16,"Al men confesse, that synne neuer so abouded, but none of vs say it is I that prouoke the Ire of God. and I wil amed.","All men confess, that sin never so abouded, but none of us say it is I that provoke the Ire of God. and I will amed."
A68214,134,2,22,IMAGE,16,"The nobilitie putteth al the fault in the people, the people in the nobilitye, in the Bishops, marchauntes, priestes, and other.","The Nobilt putteth all the fault in the people, the people in the Nobilt, in the Bishops, Merchants, Priests, and other."
A68214,135,2,22,IMAGE,16,"But wil ye he iudged, at one worde by the P A G Exii testimony of a noble wise man.","But will you he judged, At one word by the Page xii Page xii Page xii Page xii testimony of a noble wise man."
A68214,136,2,22,IMAGE,16,Noble Esay the prophet saith:,Noble Isaiah the Prophet Says:
A68214,137,2,22,IMAGE,16,"The Oxe knoweth hys Lord, and y Asse hys owners stable, wo is me, ye sinful people, people laden with iniquitie, a sede malicious, lost childre:","The Ox Knoweth his Lord, and y Ass his owners stable, woe is me, you sinful people, people laden with iniquity, a seed malicious, lost children:"
A68214,138,2,22,IMAGE,16,"ye haue forsaken the Lord, and the holy one of Israel ye haue prouoked, as Esay. i.","you have forsaken the Lord, and the holy one of Israel you have provoked, as Isaiah. i."
A68214,139,2,22,IMAGE,16,"Let euery man looke vpon hym selfe, knowledge hys synne, and studye to amend it from the hyghest to the lowest, for the Lord is redy to smyte.","Let every man look upon him self, knowledge his sin, and study to amend it from the highest to the lowest, for the Lord is ready to smite."
A68214,141,2,23,IMAGE,17,"The thyrd doctryne oute of thys place is a descripcion of Gods nature, and longe sufferaunce towards kyngdomes, realmes, publicke and priuate persons, for wher as he myght most iustlye punyshe and take vengeaunce vpo vs for synne, he is yet so mercyfull that he premonysheth,","The Third Doctrine out of this place is a description of God's nature, and long sufferance towards kingdoms, Realms, public and private Persons, for where as he might most justly Punish and take vengeance upon us for sin, he is yet so merciful that he premonisheth,"
A68214,142,2,23,IMAGE,17,"& forewarneth of hys scourge to come, by hys prophets,","& forewarneth of his scourge to come, by his Prophets,"
A68214,143,2,23,IMAGE,17,"Apostles, and preachers, and wylleth the worlde to amende:","Apostles, and Preachers, and willeth the world to amend:"
A68214,144,2,23,IMAGE,17,"in case they so do, he wyl turne hys Ire from them, if they wyl not, no remedye but vtter destruccion, as ye maye read. Gene. vii. of the flud. Ge. xix. of Sodomme. Exo. xiiii. of Pharo.","in case they so do, he will turn his Ire from them, if they will not, no remedy but utter destruction, as you may read. Gene. vii. of the flood. Ge. xix. of Sodom. Exo. xiiii. of Pharo."
