A72490,0,3,8,IMAGE,0,A Sermon.,A Sermon.
A72490,12,3,8,IMAGE,1,"And this is the pouertie and beggery that the vnmercifull and vnthankefull riche men shall receiue with the deuell in hell, that is to saie euerlastynge payne and misery.","And this is the poverty and beggary that the unmerciful and unthankful rich men shall receive with the Devil in hell, that is to say everlasting pain and misery."
A72490,13,3,8,IMAGE,1,"This doctryne is bothe liuely and truly setfurth in this parable of <i> Diues and Lazarus, </i> that is to saie in the parable of ye richeman & of ye poore begger Lazarus.","This Doctrine is both lively and truly setfurth in this parable of Diues and Lazarus, that is to say in the parable of the richeman & of the poor beggar Lazarus."
A72490,14,3,9,IMAGE,1,"Althing heare in this parable, is setfurth so liuely & plainly, that a man marking it thoroughly and depely, with all the circumstaunces of thesame, shal rather thynke, that he seeth althynges done before his eyes, as it ware played in a playe, and euery persone sene, then to haue redde it or to haue harde it preached.","Allthing hear in this parable, is setfurth so lively & plainly, that a man marking it thoroughly and deeply, with all the Circumstances of The same, shall rather think, that he sees All things done before his eyes, as it beware played in a play, and every person seen, then to have red it or to have harden it preached."
A72490,15,3,9,IMAGE,1,"Nowe whether this parable of this richeman & of this begger, ware a thyng that was done in dede, or rather a thynge inuented by our sauiour Christ to teche with all suche thynges as be heare taught:","Now whither this parable of this richeman & of this beggar, beware a thing that was done in deed, or rather a thing invented by our Saviour christ to teach with all such things as be hear taught:"
A72490,16,3,9,IMAGE,1,it maketh no matter for vs to know.,it makes no matter for us to know.
A72490,17,3,9,IMAGE,1,"Let vs consider, vs (I say) whiche either bee, or oughte to bee very Christians, lette vs marke well, and depely consider, what thynges bee taught in this parable for our instructions and lerninges, and let vs beleue the doctrines of thesame to bee moste true.","Let us Consider, us (I say) which either bee, or ought to be very Christians, let us mark well, and deeply Consider, what things be taught in this parable for our instructions and lerninges, and let us believe the doctrines of The same to be most true."
A72490,18,3,9,IMAGE,1,"And that the selfsame thynges here taught in the parable, shall chaunce vnto vs, if we do as they dyd.","And that the selfsame things Here taught in the parable, shall chance unto us, if we do as they did."
A72490,19,3,9,IMAGE,1,"Let vs therfore haue contynually before our eyes, ye eyes I say of our consciences:","Let us Therefore have continually before our eyes, you eyes I say of our Consciences:"
A72490,20,3,9,IMAGE,1,these.ij. persones in this parable or example:,these ij Persons in this parable or Exampl:
A72490,21,3,9,IMAGE,1,setfurth (and by our sauiour Christe to learne vs by.,setfurth (and by our Saviour Christ to Learn us by.
A72490,22,3,9,IMAGE,1,"This parable is very necessary and also profitable & worthy to be had in memory of all men, whether they be riche or poore, for there is no persone of what soeuer degree or state, he or she be, but may learne by this parable.","This parable is very necessary and also profitable & worthy to be had in memory of all men, whither they be rich or poor, for there is no person of what soever degree or state, he or she be, but may Learn by this parable."
A72490,23,3,9,IMAGE,1,The riche may learne & beware by it.,The rich may Learn & beware by it.
A72490,24,3,9,IMAGE,1,The poore man maye learne and take greate comfort of it.,The poor man may Learn and take great Comfort of it.
A72490,25,3,9,IMAGE,1,I would wyshe this storie or parable to be painted or graue in euery mannes house;,I would wish this story or parable to be painted or graven in every Man's house;
A72490,26,3,9,IMAGE,1,but rather imprinted in euery mannes conscience & memory.,but rather imprinted in every Man's conscience & memory.
A72490,28,3,9,IMAGE,2,"Nowe let vs come vnto the parable,","Now let us come unto the parable,"
A72490,29,3,9,IMAGE,2,"& therein marke, both notable wordes and sentences.","& therein mark, both notable words and sentences."
A72490,30,3,9,IMAGE,2,"There was a certeyne Riche man, whiche was clothed in purple and fyne whyte, and fared deliciously euery daie.","There was a certain Rich man, which was clothed in purple and fine white, and fared deliciously every day."
A72490,31,3,9,IMAGE,2,The holy scripture teacheth.ij. maner or sortes of riche men. The one sorte are suche as are riche in God.,The holy scripture Teaches ij manner or sorts of rich men. The one sort Are such as Are rich in God.
A72490,32,3,9,IMAGE,2,The other sorte that are riche to theselues.,The other sort that Are rich to themselves.
A72490,33,3,10,IMAGE,2,"They are riche in God, that knowe that all riches are geuen and come of god, and muste be spent accordynge to the will and pleasure of God.","They Are rich in God, that know that all riches Are given and come of god, and must be spent according to the will and pleasure of God."
A72490,34,3,10,IMAGE,2,They knowe what Dauid in his xxiij.,They know what David in his xxiij.
A72490,35,3,10,IMAGE,2,"Psalme dothe confesse and saie, not onely with mouthe but also wyth harte:","Psalm doth confess and say, not only with Mouth but also with heart:"
A72490,36,3,10,IMAGE,2,"in these wordes. <i> Domini est terra, </i>","in these words. Domini est terra,"
A72490,37,3,10,IMAGE,2,"<i> & plenitudo eius: </i> The earthe is the Lordes and all the plentuousnes that is in it Ergo suche goodes as we haue and possesse, be not ours, but the lordes.","& plenitudo eius: The earth is the lords and all the plentuousnes that is in it Ergo such goods as we have and possess, be not ours, but the Lords."
A72490,38,3,10,IMAGE,2,"We haue but the vse of them, and shall make a strait compt for them how that we vse them ether to our own, or to the lordes vse, to our owne profite and pleasure, or to the lordes profite or pleasure.","We have but the use of them, and shall make a strait count for them how that we use them either to our own, or to the Lords use, to our own profit and pleasure, or to the Lords profit or pleasure."
A72490,39,3,10,IMAGE,2,"If that we ernestly, woulde weye these wordes and ernestly beleue the to be true (as they be moste ernestly to be waied, and also most ernestly to be beleued,) I suppose we should not be so vnthankeful in receiuing, so vnwares either in kepyng or spending, contrary to the wil and pleasur of the owner of them as we now are.","If that we earnestly, would weye these words and earnestly believe thee to be true (as they be most earnestly to be weighed, and also most earnestly to be believed,) I suppose we should not be so unthankful in receiving, so unwares either in keeping or spending, contrary to the will and pleasure of the owner of them as we now Are."
A72490,40,3,10,IMAGE,2,"Then should we receiue of the handes of our Lorde a great summe or porcion of his goodes, loke to make of thesame Lord, a great and a perfete compte for those goodes receyued.","Then should we receive of the hands of our Lord a great sum or portion of his goods, look to make of The same Lord, a great and a perfete Compte for those goods received."
A72490,41,3,10,IMAGE,2,"I pray you, doe no greate riche men of the woorlde, looke for a compte of them to whom they commit ther substaunce or goodes.","I pray you, do not great rich men of the world, look for a Compte of them to whom they commit their substance or goods."
A72490,42,3,10,IMAGE,2,"Is it not right and reason that the tenauntes, knowe their lande lordes, and ones in the yere to paye their rentes, and knowleage their dueties.","Is it not right and reason that the tenants, know their land Lords, and ones in the year to pay their rents, and knowledge their duties."
A72490,43,3,10,IMAGE,2,"Seyng that al me that haue aught, do loke to haue their deuties paied and done vnto the accordyng to couenautes, why should not al men both highe and lowe noble and vnnoble, looke to do their duties to their lorde god?","Sing that all me that have aught, do look to have their duties paid and done unto the according to couenautes, why should not all men both high and low noble and unnoble, look to do their duties to their lord god?"
A72490,44,3,10,IMAGE,2,"Let them consider they haue receiued that that thei haue they be none owners, they be but seruauntes and disposers of their Lordes goodes.","Let them Consider they have received that that they have they be none owners, they be but Servants and disposers of their lords goods."
A72490,45,3,10,IMAGE,2,"God geue grace to all suche seruauntes, to receiue suche thynges, as they receiue truly, and to spende and bestowe their goodes truly, that in tyme to come, they may make suche a compte, as shalbe thankfully receiued, and they to be rewarded abundantly.","God give grace to all such Servants, to receive such things, as they receive truly, and to spend and bestow their goods truly, that in time to come, they may make such a Compte, as shall thankfully received, and they to be rewarded abundantly."
A72490,46,3,11,IMAGE,2,Of suche a seruaunte Dauid writethe in the. Cxij.,Of such a servant David Writeth in thee. Cxij.
A72490,47,3,11,IMAGE,2,Psalme thus saiyng: <i> Opes & diuitiae in domo eius & iusticia eius manet ineternum. </i>,Psalm thus saying: Opens & diuitiae in domo eius & Justice eius manet ineternum.
A72490,48,3,11,IMAGE,2,"Abundance and greate riches are in his house, and his rightuousnes and vprighte dealynge remayneth for euer.","Abundance and great riches Are in his house, and his righteousness and upright dealing remaineth for ever."
A72490,49,3,11,IMAGE,2,"He saith not, Robberyes, euell gotten goodes and vsury are in his house:","He Says not, Robberies, evil got goods and Usury Are in his house:"
A72490,50,3,11,IMAGE,2,for then Dauid wold haue said that his vnrightuousnes and subtile dealyng had remained in his house for euer.,for then David would have said that his unrighteousness and subtle dealing had remained in his house for ever.
A72490,51,3,11,IMAGE,2,"Here lette vs weye and depely consider, the great gyfte of god wherby these.ij. thynges may be ioyned together in one house, that is to saye, rghtuousnes and Riches.","Here let us weye and deeply Consider, the great gift of god whereby these ij things may be joined together in one house, that is to say, rghtuousnes and Riches."
A72490,52,3,11,IMAGE,2,"When the good man of the house is bothe Riche and rightuous, howe muche is that man bounde to God.","When the good man of the house is both Rich and righteous, how much is that man bound to God."
A72490,53,3,11,IMAGE,2,For seldome be these.ij. gistes lodged in one house.,For seldom be these ij gistes lodged in one house.
A72490,54,3,11,IMAGE,2,And yet it is not vnpossible to God although it be vnpossible to man.,And yet it is not unpossible to God although it be unpossible to man.
A72490,55,3,11,IMAGE,2,We reade in holy scripture of many (by the goodnes of god) that ware bothe riche and rightuous.,We read in holy scripture of many (by the Goodness of god) that beware both rich and righteous.
A72490,56,3,11,IMAGE,2,"As Abraham, Isaac, Iacob,","As Abraham, Isaac, Jacob,"
A72490,57,3,11,IMAGE,2,"Ioseph, Samuel, Iob;","Joseph, Samuel, Job;"
A72490,58,3,11,IMAGE,2,"Dauid, &c. These men ware more then men, for they wer good men, that both feared god & loued god,","David, etc. These men beware more then men, for they were good men, that both feared god & loved god,"
A72490,59,3,11,IMAGE,2,& that by hys grace and goodnes:,& that by his grace and Goodness:
A72490,60,3,11,IMAGE,2,"whiche was not receiued of them in vaine, they vsed al their goodes to godes will & pleasure.","which was not received of them in vain, they used all their goods to God's will & pleasure."
A72490,61,3,11,IMAGE,2,And so doe all good men that are riche in god.,And so do all good men that Are rich in god.
A72490,62,3,11,IMAGE,2,"Richesse and pouertie of themselues, be thynges indifferente neither good nor badde, but the vse of them maketh all.","Richesse and poverty of themselves, be things indifferent neither good nor bad, but the use of them makes all."
A72490,63,3,11,IMAGE,2,"God is not pleased by and by, because that a man is poore, for there be many poore that be also wicked, and none more wicked then they.","God is not pleased by and by, Because that a man is poor, for there be many poor that be also wicked, and none more wicked then they."
A72490,64,3,11,IMAGE,2,"Nether is god displeased, because a man is riche, for ther haue bene, and I doute not but ther be, many riche me bothe riche & good also, that pleasen god right well.","Neither is god displeased, Because a man is rich, for there have be, and I doubt not but there be, many rich me both rich & good also, that pleasen god right well."
A72490,65,3,11,IMAGE,2,"For riches be meanes and instrumentes, wherby God maie be pleased, if thei that possesse them, be bothe riche and rightuous.","For riches be means and Instruments, whereby God may be pleased, if they that possess them, be both rich and righteous."
A72490,66,3,11,IMAGE,2,Then doe they vse there richesse to goddes pleasure and poore mens profettes.,Then do they use there richesse to God's pleasure and poor men's profettes.
A72490,67,3,11,IMAGE,2,"And they beynge suche riche men, there spryngethe out of them as it ware.ij.","And they being such rich men, there spryngethe out of them as it beware ij"
A72490,68,3,12,IMAGE,2,"founteynes, one is: they will do good,","founteynes, one is: they will do good,"
A72490,69,3,12,IMAGE,2,And another yt they are able to do that good that they wil.,And Another that they Are able to do that good that they will.
A72490,70,3,12,IMAGE,2,"Here ye see, that the riche man may do one thynge, that the poore cannot do,","Here you see, that the rich man may do one thing, that the poor cannot do,"
A72490,71,3,12,IMAGE,2,"That is, he hath wherwith to do that yt he will do,","That is, he hath wherewith to do that that he will do,"
A72490,72,3,12,IMAGE,2,"& so hath not the poore man, yet for al that the poore man is neuer the more vnrightuous because he hath not to do with all, but it is sufficyente for hym to whom god geueth nomore, to haue a good will and a mercifull harte towardes all them that haue nede.","& so hath not the poor man, yet for all that the poor man is never the more unrighteous Because he hath not to doe with all, but it is sufficyente for him to whom god Giveth No more, to have a good will and a merciful heart towards all them that have need."
A72490,73,3,12,IMAGE,2,"And lette hym deale hys almose with hys tongue, in comfortynge, counseilynge and exhorting other to pacience and to al other goodnes.","And let him deal his almose with his tongue, in comforting, counseilynge and exhorting other to patience and to all other Goodness."
A72490,74,3,12,IMAGE,2,"But although the rich ma be bound to do al these, yet he must helpe the neadie to, with his substaunce accordynge to his abilytie and their necessitie, or els he is not that man, that is afore spoken of, that is bothe riche and rightuous.","But although the rich ma be bound to do all these, yet he must help the needy to, with his substance according to his abilytie and their necessity, or Else he is not that man, that is afore spoken of, that is both rich and righteous."
A72490,75,3,12,IMAGE,2,"I pray god make all them that haue riches of god geuen vnto them, or rather lent vnto them, to be of this sort, that is bothe riche and rightuous, and to consider deaply the will of god, and to remember charitably, the nede of their poore neighbours.","I pray god make all them that have riches of god given unto them, or rather lent unto them, to be of this sort, that is both rich and righteous, and to Consider deaply the will of god, and to Remember charitably, the need of their poor neighbours."
A72490,76,3,12,IMAGE,2,It foloweth also in the afore rehersed texte <i> & Iusticia eius manet ineternum. </i>,It Followeth also in the afore rehearsed text & Justice eius manet ineternum.
A72490,77,3,12,IMAGE,2,His rightuousnes dothe remaine for euer.,His righteousness doth remain for ever.
A72490,78,3,12,IMAGE,2,"Aboundaunce and richesse remainethe not for euer, but the righte vsyng of them and the vpright dealing with them remaineth for euer.","Abundance and richesse remaineth not for ever, but the right using of them and the upright dealing with them remains for ever."
A72490,79,3,12,IMAGE,2,"Some men perchaunce will say, sir ye say wel, that I muste helpe and releue my neighboures nedes and necessities."," some men perchance will say, sir you say well, that I must help and relieve my neighbours needs and necessities."
A72490,80,3,12,IMAGE,2,But I pray you tel me?,But I pray you tell me?
A72490,81,3,12,IMAGE,2,"benot my gooddes mine owne gooddes, and maie not I bestowe them according to mine owne mind?","Benot my God's mine own God's, and may not I bestow them according to mine own mind?"
A72490,82,3,12,IMAGE,2,"This obiection is answered to partely before, but heareafter it shalbe answered fully, that neither the gooddes that thou haste in thy possessyon, are thy gooddes, but goddes gooddes, and are not geuen the to be bestowed at thy pleasure, but at goddes pleasure.","This objection is answered to partly before, but hereafter it shall answered Fully, that neither the God's that thou haste in thy possession, Are thy God's, but God's God's, and Are not given thee to be bestowed At thy pleasure, but At God's pleasure."
A72490,83,3,13,IMAGE,2,"Heare and marke it wel in this matter, what the holy man Dauid in ye.ciiij. psalme saith.","Hear and mark it well in this matter, what the holy man David in you ciiij psalm Says."
A72490,84,3,13,IMAGE,2,"<i> Impleta est terra facultatibus, tuis. </i>","Fulfilled est terra facultatibus, tuis."
A72490,85,3,13,IMAGE,2,The earthe O lorde (saith he) is replenished with thy goodes and substance.,The earth Oh lord (Says he) is replenished with thy goods and substance.
A72490,86,3,13,IMAGE,2,"Then if we beleue the saiyng of this holy man Dauid, as we muste nedes and are bounde to do, because it is autenticke scripture.","Then if we believe the saying of this holy man David, as we must needs and Are bound to do, Because it is autenticke scripture."
A72490,87,3,13,IMAGE,2,"We shall perceiue that al the goodes and substance that is on the earth, is the Lordes and not ours, and that we be but balliefes and Stuardes of thesame, to bestowe them after his wyll and not after our owne wyll,","We shall perceive that all the goods and substance that is on the earth, is the lords and not ours, and that we be but balliefes and Stewards of The same, to bestow them After his will and not After our own will,"
A72490,88,3,13,IMAGE,2,& that on payne of damnacion.,& that on pain of damnation.
A72490,89,3,13,IMAGE,2,"Wylt thou knowe what is thine owne proper good, among al the gooddes of the earth, consider well what thou broughtest in with the in to this world, that is to say, nothyng, the that nothynge maiste thou bestowe accordyng to thyne owne will, for all other thynges are to be bestowed accordyng to the Lordes will, that is the owner of them.","Wilt thou know what is thine own proper good, among all the God's of the earth, Consider well what thou Broughtest in with the in to this world, that is to say, nothing, the that nothing Master thou bestow according to thine own will, for all other things Are to be bestowed according to the lords will, that is the owner of them."
A72490,90,3,13,IMAGE,2,"Perchaunce a man will saie, although I brought nothing into this world with me, yet ther be many thinges, that I my self with my witte and wisedome, with my diligence and poll^cye haue gotten, may I not bestowe those goodes at myne owne will and pleasure?","Perchance a man will say, although I brought nothing into this world with me, yet there be many things, that I my self with my wit and Wisdom, with my diligence and poll^cye have got, may I not bestow those goods At mine own will and pleasure?"
A72490,91,3,13,IMAGE,2,"I pray the tell me, who gaue the that witte and wisedom, that with thy diligence & policie, thou haste gotte these (as thou accomptest the) thyne owne goodes?","I pray the tell me, who gave the that wit and Wisdom, that with thy diligence & policy, thou haste got these (as thou accomptest the) thine own goods?"
A72490,92,3,13,IMAGE,2,"Did not god geue the al that thou haste, witte, reason, vnderstandynge, knowlege, and whatsoeuer thou haste els, to serue hym with all.","Did not god give the all that thou haste, wit, reason, understanding, knowledge, and whatsoever thou haste Else, to serve him with all."
A72490,93,3,13,IMAGE,2,"Art not thou his bounde seruaut with all that thou haste, and arte bounde to serue him to ye vttermost of thi powre?","Art not thou his bound seruaut with all that thou haste, and art bound to serve him to you uttermost of thy pour?"
A72490,94,3,13,IMAGE,2,"May a seruaunt that is sure bounde to his maister, make himselfe free, and to do what hym lyste, when he wyll?","May a servant that is sure bound to his master, make himself free, and to do what him list, when he will?"
A72490,95,3,13,IMAGE,2,"Standeth he not bound to his maister to do hym seruice, to the vttermoste of his powre, with all his witte, with all his reason, with all his vnderstandynge and knowlege,","Stands he not bound to his master to do him service, to the uttermost of his pour, with all his wit, with all his reason, with all his understanding and knowledge,"
A72490,96,3,13,IMAGE,2,"& with all that is possible for him to do, and thus muste he continue vntill the tyme his couenaunt be out?","& with all that is possible for him to do, and thus must he continue until the time his Covenant be out?"
A72490,97,3,14,IMAGE,2,"Are not all manner of persons with all there qualities, both inwarde and outwarde, bothe greate and small, high & lowe, men & women, from the highest sorte to the lowest, bounde to serue God with all there goodes and substance, and with al that thei haue or be beside."," are not all manner of Persons with all there qualities, both inward and outward, both great and small, high & low, men & women, from the highest sort to the lowest, bound to serve God with all there goods and substance, and with all that they have or be beside."
A72490,98,3,14,IMAGE,2,Who hath made any man free from this seruice?,Who hath made any man free from this service?
A72490,99,3,14,IMAGE,2,Not god: for he saith in the.xij. chapiter of Exodus <i> Ego sum dominus deus tuus </i> I am (saithe he) the Lorde thy God.,Not god: for he Says in the xij chapter of Exodus Ego sum dominus deus Thy I am (Saith he) the Lord thy God.
A72490,100,3,14,IMAGE,2,"This saiynge is spoken to euery man and woman of whatsoeuer state they be, here is none excepted.","This saying is spoken to every man and woman of whatsoever state they be, Here is none excepted."
A72490,101,3,14,IMAGE,2,If god be the Lorde of vs all:,If god be the Lord of us all:
A72490,102,3,14,IMAGE,2,"be not we then all hys seruauntes, wyth all our qualities.","be not we then all his Servants, with all our qualities."
A72490,103,3,14,IMAGE,2,Who hath made vs free?,Who hath made us free?
A72490,104,3,14,IMAGE,2,"Not god, for he wil neuer make vs free fro hys seruice, so longe as we be in this body,","Not god, for he will never make us free from his service, so long as we be in this body,"
A72490,105,3,14,IMAGE,2,Can we make ourselues free?,Can we make ourselves free?
A72490,106,3,14,IMAGE,2,That cannot a seruaunte do duryng his couenant.,That cannot a servant do during his Covenant.
A72490,107,3,14,IMAGE,2,"Our couenant is made, it cannot be broken durynge this lyfe.","Our Covenant is made, it cannot be broken during this life."
A72490,108,3,14,IMAGE,2,"Therefore we with all that we haue be goddes bound seruauntes, and are bounde to serue hym faithfully and truly, and that to our ende euen on panye of Damnacion.","Therefore we with all that we have be God's bound Servants, and Are bound to serve him faithfully and truly, and that to our end even on panye of Damnation."
A72490,109,3,14,IMAGE,2,"Nowe therefore, ye that wylbe ryche and rightuous, see that ye get youre gooddes accordyng to the wyll of God godly, kepe them godly & spende the godly, be mercyfull to the poore and nedye, be not hyghe mynded and haultie ouer other that be poore,","Now Therefore, you that wylbe rich and righteous, see that you get your God's according to the will of God godly, keep them godly & spend the godly, be merciful to the poor and needy, be not high minded and haultie over other that be poor,"
A72490,110,3,14,IMAGE,2,"Truste not in vncerteyn riches, but in the liuynge God, be riche in good workes:","Trust not in uncertain riches, but in the living God, be rich in good works:"
A72490,111,3,14,IMAGE,2,"for all these lessons dothe the holy Apostle Paule teche vs, in his firste Epistle to Timothe.vj.","for all these Lessons doth the holy Apostle Paul teach us, in his First Epistle to Timothy vj"
A72490,112,3,14,IMAGE,2,Suche a nother good lesson dothe Dauid teche vs in the lxxxj.,Suche a neither good Lesson doth David teach us in the lxxxj.
A72490,113,3,14,IMAGE,2,"Psalme saiynge: <i> Si diuitiae affluunt, nolite cor apponere. </i>","Psalm saying: Si diuitiae affluunt, nolite cor apponere."
A72490,114,3,14,IMAGE,2,"If riches (saithe he) flowe or be abundante, sette not your harte on them,","If riches (Saith he) flow or be abundant, Set not your heart on them,"
A72490,115,3,14,IMAGE,2,"Make not your good, your God.","Make not your good, your God."
A72490,116,3,14,IMAGE,2,"Serue you your God, and lette your good serue you.","Serve you your God, and let your good serve you."
A72490,118,3,14,IMAGE,3,"Nowe heare ye haue heard the properties of those riche men yt are bothe Ryche and Rightuous, and they that are suche are also Ryche in God.","Now hear you have herd the properties of those rich men that Are both Rich and Righteous, and they that Are such Are also Rich in God."
A72490,119,3,15,IMAGE,3,"I beseche God of his infinite goodnes, to geue vs all grace to learne to be riche in this wise, that is in God,","I beseech God of his infinite Goodness, to give us all grace to Learn to be rich in this wise, that is in God,"
A72490,120,3,15,IMAGE,3,"& to practyse the same in our liuynge, whiche shalbe if that we be ryche and rightuous, but all are not riche & rightuous, it is good inoughe if we be rightuous whether we be riche or poore.","& to practise the same in our living, which shall if that we be rich and righteous, but all Are not rich & righteous, it is good enough if we be righteous whither we be rich or poor."
A72490,121,3,15,IMAGE,3,"Whatsoeuer be awaye, rightuousnes maye not be away.","Whatsoever be away, righteousness may not be away."
A72490,122,3,15,IMAGE,3,Here endeth the first parte of this sermon. The seconde parte.,Here Endeth the First part of this sermon. The seconde part.
A72490,123,3,15,IMAGE,4,"F Vrthermore accordyng to my promes,","Furthermore Furthermore according to my promise,"
A72490,124,3,15,IMAGE,4,"I will speake of another sorte of men, that are rich in themselues and not in god.","I will speak of Another sort of men, that Are rich in themselves and not in god."
A72490,125,3,15,IMAGE,4,Of this sorte of riche men was this riche man of whom Christe made this parable.,Of this sort of rich men was this rich man of whom Christ made this parable.
A72490,126,3,15,IMAGE,4,"Of such sorte of riche men the holy scripture is plentyfull, and the whole worlde is not emptie.","Of such sort of rich men the holy scripture is plentiful, and the Whole world is not empty."
A72490,127,3,15,IMAGE,4,Of that sorte of men Sainte paule admonissheth Timotheus his dysciple.j. Timothy.vj.,Of that sort of men Saint Paul Admonisheth Timothy his dysciple j Timothy vj
A72490,128,3,15,IMAGE,4,"Charge them (saith he) whiche are riche in this worlde, that they benot highe mynded, nor to truste in vncerten riches:","Charge them (Says he) which Are rich in this world, that they Benot high minded, nor to trust in uncertain riches:"
A72490,129,3,15,IMAGE,4,"and in thesame chapiter he spekethe also, of suche riche men.","and in The same chapter he Speaketh also, of such rich men."
A72490,130,3,15,IMAGE,4,"They (saith he) that wilbe riche, (that is to say to themselues & not to God) fall into temptacion and snares of the Deuell, and to many folyshe and noisome lustes, whiche drawe men into perdicion and destruction &c.","They (Says he) that will rich, (that is to say to themselves & not to God) fallen into temptation and snares of the devil, and to many foolish and noisome lusts, which draw men into perdition and destruction etc."
A72490,131,3,15,IMAGE,4,Here ye see partly in what case they are that are riche in themselues and not in god.,Here you see partly in what case they Are that Are rich in themselves and not in god.
A72490,132,3,15,IMAGE,4,"Paule calleth them the riche of this worlde, because they looke for none other riches of the other worlde.","Paul calls them the rich of this world, Because they look for none other riches of the other world."
A72490,133,3,15,IMAGE,4,"They maye well bee called the riche of this worlde, for they shalbe poore beggers in the other worlde, forthey make no preparacion here, that they may be riche there.","They may well be called the rich of this world, for they shall poor beggars in the other world, forthey make no preparation Here, that they may be rich there."
A72490,134,3,15,IMAGE,4,A liuely example of suche a riche man is setfurth by our sauiour Christe himselfe in the xii. of Saint Luke & that by a parable.,A lively Exampl of such a rich man is setfurth by our Saviour Christ himself in the xii. of Saint Lycia & that by a parable.
A72490,135,3,15,IMAGE,4,"The grounde (saith Christe) of a certen riche man brought forth plentiful frutes, and he thought within himself saiyng, what shal I do?","The ground (Says Christ) of a certain rich man brought forth plentiful fruits, and he Thought within himself saying, what shall I do?"
A72490,136,3,16,IMAGE,4,because I haue no rome where to bestowe my frutes?,Because I have no room where to bestow my fruits?
A72490,137,3,16,IMAGE,4,"And he saied, thus wil I do I wyl destroye my barnes and buylde greater and therein wil I gather all my gooddes that are growen vnto me and I wyll saie vnto my soule:","And he said, thus will I do I will destroy my Barns and build greater and therein will I gather all my God's that Are grown unto me and I will say unto my soul:"
A72490,138,3,16,IMAGE,4,"Soule thou haste muche goodes layed vp in store for many yeares, take thyne ease, eate, drinke, be mery.","Soul thou haste much goods laid up in store for many Years, take thine ease, eat, drink, be merry."
A72490,139,3,16,IMAGE,4,But God saied vnto hym:,But God said unto him:
A72490,140,3,16,IMAGE,4,"Thou foole, this night they shall fetche away thy soule againe from the then whose shall those thynges be, whiche thou haste prouided?","Thou fool, this night they shall fetch away thy soul again from the then whose shall those things be, which thou haste provided?"
A72490,142,3,16,IMAGE,5,"Here is many wounderous thinges in this parable to be considered, if men of thys worlde ware so wyse to consider them in tyme, no doubte of this matter, they shall consider it & that depely and ernestly, but all to late, all to late I say.","Here is many wondrous things in this parable to be considered, if men of this world beware so wise to Consider them in time, no doubt of this matter, they shall Consider it & that deeply and earnestly, but all to late, all to late I say."
A72490,143,3,16,IMAGE,5,"It ware very expedient for all menne, and namely for suche as be laden with worldly, goodes, riches,","It beware very expedient for all men, and namely for such as be laden with worldly, goods, riches,"
A72490,144,3,16,IMAGE,5,"Dignities & promocions, & that nowe in tyme, whyle tyme is, for that tyme wyll awaye shortely ere a manne be ware.","Dignities & promotions, & that now in time, while time is, for that time will away shortly ere a man be aware."
